indicator_code,indicator_name,year,value,unit
SH.DYN.AIDS.ZS,"Prevalence of HIV, total (% of population ages 15-49)",1990,0.1,percent_ages_15_49
SH.DYN.AIDS.ZS,"Prevalence of HIV, total (% of population ages 15-49)",1991,0.1,percent_ages_15_49
SH.DYN.AIDS.ZS,"Prevalence of HIV, total (% of population ages 15-49)",1992,0.1,percent_ages_15_49
SH.DYN.AIDS.ZS,"Prevalence of HIV, total (% of population ages 15-49)",1993,0.1,percent_ages_15_49
SH.DYN.AIDS.ZS,"Prevalence of HIV, total (% of population ages 15-49)",1994,0.1,percent_ages_15_49
SH.DYN.AIDS.ZS,"Prevalence of HIV, total (% of population ages 15-49)",1995,0.1,percent_ages_15_49
SH.DYN.AIDS.ZS,"Prevalence of HIV, total (% of population ages 15-49)",1996,0.1,percent_ages_15_49
SH.DYN.AIDS.ZS,"Prevalence of HIV, total (% of population ages 15-49)",1997,0.1,percent_ages_15_49
SH.DYN.AIDS.ZS,"Prevalence of HIV, total (% of population ages 15-49)",1998,0.1,percent_ages_15_49
SH.DYN.AIDS.ZS,"Prevalence of HIV, total (% of population ages 15-49)",1999,0.1,percent_ages_15_49
SH.DYN.AIDS.ZS,"Prevalence of HIV, total (% of population ages 15-49)",2000,0.1,percent_ages_15_49
SH.DYN.AIDS.ZS,"Prevalence of HIV, total (% of population ages 15-49)",2001,0.1,percent_ages_15_49
SH.DYN.AIDS.ZS,"Prevalence of HIV, total (% of population ages 15-49)",2002,0.1,percent_ages_15_49
SH.DYN.AIDS.ZS,"Prevalence of HIV, total (% of population ages 15-49)",2003,0.1,percent_ages_15_49
SH.DYN.AIDS.ZS,"Prevalence of HIV, total (% of population ages 15-49)",2004,0.1,percent_ages_15_49
SH.DYN.AIDS.ZS,"Prevalence of HIV, total (% of population ages 15-49)",2005,0.1,percent_ages_15_49
SH.DYN.AIDS.ZS,"Prevalence of HIV, total (% of population ages 15-49)",2006,0.1,percent_ages_15_49
SH.DYN.AIDS.ZS,"Prevalence of HIV, total (% of population ages 15-49)",2007,0.1,percent_ages_15_49
SH.DYN.AIDS.ZS,"Prevalence of HIV, total (% of population ages 15-49)",2008,0.1,percent_ages_15_49
SH.DYN.AIDS.ZS,"Prevalence of HIV, total (% of population ages 15-49)",2009,0.1,percent_ages_15_49
SH.DYN.AIDS.ZS,"Prevalence of HIV, total (% of population ages 15-49)",2010,0.1,percent_ages_15_49
SH.DYN.AIDS.ZS,"Prevalence of HIV, total (% of population ages 15-49)",2011,0.1,percent_ages_15_49
SH.DYN.AIDS.ZS,"Prevalence of HIV, total (% of population ages 15-49)",2012,0.1,percent_ages_15_49
SH.DYN.AIDS.ZS,"Prevalence of HIV, total (% of population ages 15-49)",2013,0.1,percent_ages_15_49
SH.DYN.AIDS.ZS,"Prevalence of HIV, total (% of population ages 15-49)",2014,0.1,percent_ages_15_49
SH.DYN.AIDS.ZS,"Prevalence of HIV, total (% of population ages 15-49)",2015,0.1,percent_ages_15_49
SH.DYN.AIDS.ZS,"Prevalence of HIV, total (% of population ages 15-49)",2016,0.1,percent_ages_15_49
SH.DYN.AIDS.ZS,"Prevalence of HIV, total (% of population ages 15-49)",2017,0.1,percent_ages_15_49
SH.DYN.AIDS.ZS,"Prevalence of HIV, total (% of population ages 15-49)",2018,0.2,percent_ages_15_49
