id,product_name,company,pack_size,price_before_pkr,discount_percent,price_after_pkr,availability,text
drug-fd0416a5a8f3,Z-drox,Z-jans,2x6's,111,10,100,Sold Out,Z-drox is a pharmaceutical product marketed in Pakistan by Z-jans. It is sold in a pack size of 2x6's. Its retail price is Rs 100 after a 10% discount from the original price of Rs 111. Market availability: Sold Out.
drug-b8bc2c286460,Z-drox,Z-jans,60ml,167,10,150,Sold Out,Z-drox is a pharmaceutical product marketed in Pakistan by Z-jans. It is sold in a pack size of 60ml. Its retail price is Rs 150 after a 10% discount from the original price of Rs 167. Market availability: Sold Out.
drug-af15831da9cc,Z-drox,Z-jans,60ml,90,10,90,Sold Out,Z-drox is a pharmaceutical product marketed in Pakistan by Z-jans. It is sold in a pack size of 60ml. Its retail price is Rs 90 after a 10% discount from the original price of Rs 90. Market availability: Sold Out.
drug-ae110fdc609c,Z-Mac,Opal,15ml,229,10,206,Available,Z-Mac is a pharmaceutical product marketed in Pakistan by Opal. It is sold in a pack size of 15ml. Its retail price is Rs 206 after a 10% discount from the original price of Rs 229. Market availability: Available.
drug-ec9ee2fe11c3,Z-Mac,Opal,2x5's,688,10,619,Available,Z-Mac is a pharmaceutical product marketed in Pakistan by Opal. It is sold in a pack size of 2x5's. Its retail price is Rs 619 after a 10% discount from the original price of Rs 688. Market availability: Available.
drug-44f9c2fe167e,Zafixime,Zafa,1 Vial,135,10,122,Available,Zafixime is a pharmaceutical product marketed in Pakistan by Zafa. It is sold in a pack size of 1 Vial. Its retail price is Rs 122 after a 10% discount from the original price of Rs 135. Market availability: Available.
drug-2e3fababb9a4,Zafixime,Zafa,1 Vial,60,10,60,Available,Zafixime is a pharmaceutical product marketed in Pakistan by Zafa. It is sold in a pack size of 1 Vial. Its retail price is Rs 60 after a 10% discount from the original price of Rs 60. Market availability: Available.
drug-90701208f91e,Zafixime,Zafa,1 Vial,75,10,75,Available,Zafixime is a pharmaceutical product marketed in Pakistan by Zafa. It is sold in a pack size of 1 Vial. Its retail price is Rs 75 after a 10% discount from the original price of Rs 75. Market availability: Available.
drug-42d8dde99f9b,Zafon,Getz Pharma,1 x 10's,230,10,207,Available,Zafon is a pharmaceutical product marketed in Pakistan by Getz Pharma. It is sold in a pack size of 1 x 10's. Its retail price is Rs 207 after a 10% discount from the original price of Rs 230. Market availability: Available.
drug-84b82dd436df,Zafquin,Zafa,10 Ampx2ml,30,10,27,Available,Zafquin is a pharmaceutical product marketed in Pakistan by Zafa. It is sold in a pack size of 10 Ampx2ml. Its retail price is Rs 27 after a 10% discount from the original price of Rs 30. Market availability: Available.
drug-73eccb7e2163,Zaftolin,Zafa,10x10's,13,10,11,Available,Zaftolin is a pharmaceutical product marketed in Pakistan by Zafa. It is sold in a pack size of 10x10's. Its retail price is Rs 11 after a 10% discount from the original price of Rs 13. Market availability: Available.
drug-d72609eb7b3b,Zaftolin,Zafa,10x10's,11,10,10,Available,Zaftolin is a pharmaceutical product marketed in Pakistan by Zafa. It is sold in a pack size of 10x10's. Its retail price is Rs 10 after a 10% discount from the original price of Rs 11. Market availability: Available.
drug-b3cb763f68e0,Zaftolin,Zafa,60 ml,41,10,41,Available,Zaftolin is a pharmaceutical product marketed in Pakistan by Zafa. It is sold in a pack size of 60 ml. Its retail price is Rs 41 after a 10% discount from the original price of Rs 41. Market availability: Available.
drug-a1a7c269f305,Zafurox,Zafa,1 Vial,162,10,146,Available,Zafurox is a pharmaceutical product marketed in Pakistan by Zafa. It is sold in a pack size of 1 Vial. Its retail price is Rs 146 after a 10% discount from the original price of Rs 162. Market availability: Available.
drug-2f517691743f,Zafurox,Zafa,50ml,274,10,246,Available,Zafurox is a pharmaceutical product marketed in Pakistan by Zafa. It is sold in a pack size of 50ml. Its retail price is Rs 246 after a 10% discount from the original price of Rs 274. Market availability: Available.
drug-fa806f6e2242,Zafurox,Zafa,14's,346,10,311,Available,Zafurox is a pharmaceutical product marketed in Pakistan by Zafa. It is sold in a pack size of 14's. Its retail price is Rs 311 after a 10% discount from the original price of Rs 346. Market availability: Available.
drug-8112f67d0a23,Zafurox,Zafa,14's,677,10,609,Available,Zafurox is a pharmaceutical product marketed in Pakistan by Zafa. It is sold in a pack size of 14's. Its retail price is Rs 609 after a 10% discount from the original price of Rs 677. Market availability: Available.
drug-894051afca6e,Zafurox,Zafa,1 Vial,36,10,36,Available,Zafurox is a pharmaceutical product marketed in Pakistan by Zafa. It is sold in a pack size of 1 Vial. Its retail price is Rs 36 after a 10% discount from the original price of Rs 36. Market availability: Available.
drug-878fb9cd40a5,Zaline,A'raf,30s,295,10,266,Available,Zaline is a pharmaceutical product marketed in Pakistan by A'raf. It is sold in a pack size of 30s. Its retail price is Rs 266 after a 10% discount from the original price of Rs 295. Market availability: Available.
