observation_id,date,ceiling_amount_million_pkr,ceiling_institutions,floor_amount_million_pkr,floor_institutions,total_facility_amount_million_pkr,net_floor_minus_ceiling_amount_million_pkr,total_facility_amount_million_pkr_lag_1,total_facility_amount_million_pkr_rolling_7_obs_avg,total_facility_amount_million_pkr_rolling_30_obs_avg,net_floor_minus_ceiling_amount_million_pkr_lag_1,net_floor_minus_ceiling_amount_million_pkr_rolling_7_obs_avg,net_floor_minus_ceiling_amount_million_pkr_rolling_30_obs_avg,target_next_obs_total_facility_amount_million_pkr,target_next_obs_facility_direction,split
corridor_00001,2009-08-13,2340,1,0,0,2340,-2340,,,,,,,6550.0,up,train
corridor_00002,2009-08-21,0,0,6550,9,6550,6550,2340.0,,,-2340.0,,,12100.0,up,train
corridor_00003,2009-08-28,0,0,12100,8,12100,12100,6550.0,6996.666667,,6550.0,5436.666667,,11200.0,down,train
corridor_00004,2009-08-31,11200,8,0,0,11200,-11200,12100.0,8047.5,,12100.0,1277.5,,2800.0,down,train
corridor_00005,2009-09-04,2800,1,0,0,2800,-2800,11200.0,6998.0,,-11200.0,462.0,,900.0,down,train
corridor_00006,2009-09-09,0,0,900,1,900,900,2800.0,5981.666667,,-2800.0,535.0,,7200.0,up,train
corridor_00007,2009-09-10,0,0,7200,2,7200,7200,900.0,6155.714286,,900.0,1487.142857,,7350.0,up,train
corridor_00008,2009-09-11,0,0,7350,4,7350,7350,7200.0,6871.428571,,7200.0,2871.428571,,700.0,down,train
corridor_00009,2009-09-16,700,1,0,0,700,-700,7350.0,6035.714286,,7350.0,1835.714286,,10800.0,up,train
corridor_00010,2009-09-18,10800,1,0,0,10800,-10800,700.0,5850.0,6194.0,-700.0,-1435.714286,626.0,13500.0,up,train
corridor_00011,2009-09-19,0,0,13500,1,13500,13500,10800.0,6178.571429,6858.181818,-10800.0,2092.857143,1796.363636,11500.0,down,train
corridor_00012,2009-09-24,0,0,11500,2,11500,11500,13500.0,7421.428571,7245.0,13500.0,4135.714286,2605.0,12500.0,up,train
corridor_00013,2009-09-25,0,0,12500,3,12500,12500,11500.0,9078.571429,7649.230769,11500.0,5792.857143,3366.153846,10800.0,down,train
corridor_00014,2009-09-26,10800,11,0,0,10800,-10800,12500.0,9592.857143,7874.285714,12500.0,3221.428571,2354.285714,5600.0,down,train
corridor_00015,2009-09-28,5600,4,0,0,5600,-5600,10800.0,9342.857143,7722.666667,-10800.0,1371.428571,1824.0,28850.0,up,train
corridor_00016,2009-09-29,28850,16,0,0,28850,-28850,5600.0,13364.285714,9043.125,-5600.0,-2650.0,-93.125,54250.0,up,train
corridor_00017,2009-09-30,54250,13,0,0,54250,-54250,28850.0,19571.428571,11702.352941,-28850.0,-8857.142857,-3278.823529,6800.0,down,train
corridor_00018,2009-10-02,0,0,6800,7,6800,6800,54250.0,18614.285714,11430.0,-54250.0,-9814.285714,-2718.888889,2500.0,down,train
corridor_00019,2009-10-09,0,0,2500,1,2500,2500,6800.0,17328.571429,10960.0,6800.0,-11100.0,-2444.210526,1000.0,down,train
corridor_00020,2009-10-13,1000,1,0,0,1000,-1000,2500.0,15685.714286,10462.0,2500.0,-13028.571429,-2372.0,8600.0,up,train
corridor_00021,2009-10-16,8600,4,0,0,8600,-8600,1000.0,15371.428571,10373.333333,-1000.0,-12714.285714,-2668.571429,2800.0,down,train
corridor_00022,2009-10-23,0,0,2800,2,2800,2800,8600.0,14971.428571,10029.090909,-8600.0,-11514.285714,-2420.0,800.0,down,train
corridor_00023,2009-10-29,0,0,800,1,800,800,2800.0,10964.285714,9627.826087,2800.0,-7278.571429,-2280.0,11150.0,up,train
corridor_00024,2009-10-30,0,0,11150,5,11150,11150,800.0,4807.142857,9691.25,800.0,2064.285714,-1720.416667,2500.0,down,train
corridor_00025,2009-11-02,0,0,2500,1,2500,2500,11150.0,4192.857143,9403.6,11150.0,1450.0,-1551.6,6050.0,up,train
corridor_00026,2009-11-04,6050,2,0,0,6050,-6050,2500.0,4700.0,9274.615385,2500.0,228.571429,-1724.615385,1250.0,down,train
corridor_00027,2009-11-06,1250,1,0,0,1250,-1250,6050.0,4735.714286,8977.407407,-6050.0,192.857143,-1707.037037,9200.0,up,train
