period,year,month,national_cpi_yoy_pct,national_cpi_mom_pct,urban_cpi_yoy_pct,urban_cpi_mom_pct,rural_cpi_yoy_pct,rural_cpi_mom_pct,spi_yoy_pct,spi_mom_pct,wpi_yoy_pct,wpi_mom_pct,national_cpi_index_2015_16,urban_cpi_index_2015_16,rural_cpi_index_2015_16,wpi_index_2015_16,annual_bx_klt_dinv_cd_wd,annual_bx_trf_pwkr_cd_dt,annual_fi_res_totl_cd,annual_fp_cpi_totl_zg,annual_ne_exp_gnfs_cd,annual_ne_imp_gnfs_cd,annual_ny_gdp_mktp_cd,annual_ny_gdp_mktp_kd_zg,annual_ny_gdp_pcap_cd,annual_sl_uem_totl_zs,national_cpi_yoy_pct_lag_1m,national_cpi_yoy_pct_lag_3m,national_cpi_yoy_pct_rolling_3m_avg,national_cpi_yoy_pct_rolling_6m_avg,urban_cpi_yoy_pct_lag_1m,urban_cpi_yoy_pct_lag_3m,urban_cpi_yoy_pct_rolling_3m_avg,urban_cpi_yoy_pct_rolling_6m_avg,rural_cpi_yoy_pct_lag_1m,rural_cpi_yoy_pct_lag_3m,rural_cpi_yoy_pct_rolling_3m_avg,rural_cpi_yoy_pct_rolling_6m_avg,spi_yoy_pct_lag_1m,spi_yoy_pct_lag_3m,spi_yoy_pct_rolling_3m_avg,spi_yoy_pct_rolling_6m_avg,wpi_yoy_pct_lag_1m,wpi_yoy_pct_lag_3m,wpi_yoy_pct_rolling_3m_avg,wpi_yoy_pct_rolling_6m_avg,target_next_month_national_cpi_yoy_pct,target_next_month_wpi_yoy_pct,target_next_month_national_cpi_direction,split
2017-07,2017,7,3.9,,4.4,,3.1,,,,1.9,,107.1,107.7,106.3,105.3,2496000000.0,19856000000.0,18455861310.286,4.085374,27888160733.4655,58514391836.2421,339205534861.1,4.432626,1519.234595,3.204,,,,,,,,,,,,,,,,,,,,,4.4,2.0,up,train
2017-08,2017,8,4.4,,5.1,,3.4,,,,2.0,,107.3,107.9,106.4,105.5,2496000000.0,19856000000.0,18455861310.286,4.085374,27888160733.4655,58514391836.2421,339205534861.1,4.432626,1519.234595,3.204,3.9,,4.15,,4.4,,4.75,,3.1,,3.25,,,,,,1.9,,1.95,,4.7,2.7,up,train
2017-09,2017,9,4.7,,5.2,,3.9,,,,2.7,,108.0,108.4,107.5,105.7,2496000000.0,19856000000.0,18455861310.286,4.085374,27888160733.4655,58514391836.2421,339205534861.1,4.432626,1519.234595,3.204,4.4,,4.333333,4.333333,5.1,,4.9,4.9,3.4,,3.466667,3.466667,,,,,2.0,,2.2,2.2,4.8,3.7,up,train
2017-10,2017,10,4.8,,5.3,,4.2,,,,3.7,,109.2,109.3,109.1,106.7,2496000000.0,19856000000.0,18455861310.286,4.085374,27888160733.4655,58514391836.2421,339205534861.1,4.432626,1519.234595,3.204,4.7,3.9,4.633333,4.45,5.2,4.4,5.2,5.0,3.9,3.1,3.833333,3.65,,,,,2.7,1.9,2.8,2.575,5.0,4.2,up,train
2017-11,2017,11,5.0,,5.4,,4.4,,,,4.2,,110.0,110.0,109.8,107.8,2496000000.0,19856000000.0,18455861310.286,4.085374,27888160733.4655,58514391836.2421,339205534861.1,4.432626,1519.234595,3.204,4.8,4.4,4.833333,4.56,5.3,5.1,5.3,5.08,4.2,3.4,4.166667,3.8,,,,,3.7,2.0,3.533333,2.9,5.6,4.5,up,train
2017-12,2017,12,5.6,,6.1,,4.9,,,,4.5,,109.9,110.1,109.7,108.3,2496000000.0,19856000000.0,18455861310.286,4.085374,27888160733.4655,58514391836.2421,339205534861.1,4.432626,1519.234595,3.204,5.0,4.7,5.133333,4.733333,5.4,5.2,5.6,5.25,4.4,3.9,4.5,3.983333,,,,,4.2,2.7,4.133333,3.166667,5.2,6.4,down,train
2018-01,2018,1,5.2,,5.4,,4.9,,,,6.4,,110.0,110.3,109.6,111.1,1737000000.0,21193000000.0,11837177725.8521,5.078057,30562205605.5736,67821965004.981,356128166704.921,6.151703,1569.338146,4.083,5.6,4.8,5.266667,4.95,6.1,5.3,5.633333,5.416667,4.9,4.2,4.733333,4.283333,,,,,4.5,3.7,5.033333,3.916667,4.5,5.9,down,train
2018-02,2018,2,4.5,,4.8,,4.0,,,,5.9,,109.7,110.1,109.1,111.6,1737000000.0,21193000000.0,11837177725.8521,5.078057,30562205605.5736,67821965004.981,356128166704.921,6.151703,1569.338146,4.083,5.2,5.0,5.1,4.966667,5.4,5.4,5.433333,5.366667,4.9,4.4,4.6,4.383333,,,,,6.4,4.2,5.6,4.566667,3.6,5.4,down,train
2018-03,2018,3,3.6,,4.0,,3.0,,,,5.4,,110.0,110.4,109.3,111.5,1737000000.0,21193000000.0,11837177725.8521,5.078057,30562205605.5736,67821965004.981,356128166704.921,6.151703,1569.338146,4.083,4.5,5.6,4.433333,4.783333,4.8,6.1,4.733333,5.166667,4.0,4.9,3.966667,4.233333,,,,,5.9,4.5,5.9,5.016667,4.0,6.3,up,train
2018-04,2018,4,4.0,,4.4,,3.3,,,,6.3,,111.1,111.9,110.0,112.9,1737000000.0,21193000000.0,11837177725.8521,5.078057,30562205605.5736,67821965004.981,356128166704.921,6.151703,1569.338146,4.083,3.6,5.2,4.033333,4.65,4.0,5.4,4.4,5.016667,3.0,4.9,3.433333,4.083333,,,,,5.4,6.4,5.866667,5.45,5.0,8.6,up,train
2018-05,2018,5,5.0,,5.3,,4.5,,,,8.6,,111.7,112.5,110.3,115.2,1737000000.0,21193000000.0,11837177725.8521,5.078057,30562205605.5736,67821965004.981,356128166704.921,6.151703,1569.338146,4.083,4.0,4.5,4.2,4.65,4.4,4.8,4.566667,5.0,3.3,4.0,3.6,4.1,,,,,6.3,5.9,6.766667,6.183333,5.7,11.4,up,train
2018-06,2018,6,5.7,,5.8,,5.4,,,,11.4,,112.6,113.3,111.4,118.1,1737000000.0,21193000000.0,11837177725.8521,5.078057,30562205605.5736,67821965004.981,356128166704.921,6.151703,1569.338146,4.083,5.0,3.6,4.9,4.666667,5.3,4.0,5.166667,4.95,4.5,3.0,4.4,4.183333,,,,,8.6,5.4,8.766667,7.333333,6.7,16.3,up,train
2018-07,2018,7,6.7,,6.7,,6.6,,,,16.3,,114.3,114.9,113.3,122.4,1737000000.0,21193000000.0,11837177725.8521,5.078057,30562205605.5736,67821965004.981,356128166704.921,6.151703,1569.338146,4.083,5.7,4.0,5.8,4.916667,5.8,4.4,5.933333,5.166667,5.4,3.3,5.5,4.466667,,,,,11.4,6.3,12.1,8.983333,6.2,16.7,down,train
2018-08,2018,8,6.2,,6.2,,6.2,,,,16.7,,113.9,114.6,113.0,123.1,1737000000.0,21193000000.0,11837177725.8521,5.078057,30562205605.5736,67821965004.981,356128166704.921,6.151703,1569.338146,4.083,6.7,5.0,6.2,5.2,6.7,5.3,6.233333,5.4,6.6,4.5,6.066667,4.833333,,,,,16.3,8.6,14.8,10.783333,5.4,14.6,down,train
