week_end_date,item_number,item_description,unit,city_code,city,price_pkr,price_lag_1w,price_lag_4w,price_wow_pct,price_rolling_4w_avg,price_rolling_4w_std,target_next_week_price_pkr,target_next_week_wow_pct,target_next_week_direction,split
2025-10-23,1,Wheat Flour Bag,20 Kg,1,Islamabad,2546.53,,,,,,2546.53,0.0,flat,train
2025-10-30,1,Wheat Flour Bag,20 Kg,1,Islamabad,2546.53,2546.53,,0.0,2546.53,0.0,2521.0,-1.002541,down,train
2025-11-06,1,Wheat Flour Bag,20 Kg,1,Islamabad,2521.0,2546.53,,-1.002541,2538.02,14.739752,2469.92,-2.02618,down,train
2025-11-13,1,Wheat Flour Bag,20 Kg,1,Islamabad,2469.92,2521.0,,-2.02618,2520.995,36.1143,2469.92,0.0,flat,train
2025-11-20,1,Wheat Flour Bag,20 Kg,1,Islamabad,2469.92,2469.92,2546.53,0.0,2501.8425,38.306111,2436.45,-1.355105,down,train
2025-11-27,1,Wheat Flour Bag,20 Kg,1,Islamabad,2436.45,2469.92,2546.53,-1.355105,2474.3225,34.889728,2454.38,0.735907,up,train
2025-12-04,1,Wheat Flour Bag,20 Kg,1,Islamabad,2454.38,2436.45,2521.0,0.735907,2457.6675,15.929401,2646.54,7.829268,up,train
2025-12-11,1,Wheat Flour Bag,20 Kg,1,Islamabad,2646.54,2454.38,2469.92,7.829268,2501.8225,97.442768,2632.13,-0.544484,down,train
2025-12-18,1,Wheat Flour Bag,20 Kg,1,Islamabad,2632.13,2646.54,2469.92,-0.544484,2542.375,112.352916,2579.94,-1.982805,down,train
2025-12-24,1,Wheat Flour Bag,20 Kg,1,Islamabad,2579.94,2632.13,2436.45,-1.982805,2578.2475,87.394148,2744.4,6.374567,up,train
2026-01-01,1,Wheat Flour Bag,20 Kg,1,Islamabad,2744.4,2579.94,2454.38,6.374567,2650.7525,68.675098,2874.39,4.736554,up,train
2026-01-08,1,Wheat Flour Bag,20 Kg,1,Islamabad,2874.39,2744.4,2646.54,4.736554,2707.715,130.595926,2925.48,1.777421,up,train
2026-01-15,1,Wheat Flour Bag,20 Kg,1,Islamabad,2925.48,2874.39,2632.13,1.777421,2781.0525,154.230169,2925.48,0.0,flat,train
2026-01-22,1,Wheat Flour Bag,20 Kg,1,Islamabad,2925.48,2925.48,2579.94,0.0,2867.4375,85.487674,3045.51,4.102916,up,train
2026-01-29,1,Wheat Flour Bag,20 Kg,1,Islamabad,3045.51,2925.48,2744.4,4.102916,2942.715,72.638851,3002.16,-1.423407,down,train
2026-02-04,1,Wheat Flour Bag,20 Kg,1,Islamabad,3002.16,3045.51,2874.39,-1.423407,2974.6575,59.479176,2894.36,-3.590748,down,train
