qa_id,task_type,question,answer,evidence_chunk_id,source_url,split
qa_00001,fact_lookup,What were Pakistan's national CPI YoY and MoM inflation rates in 2024-09?,"In 2024-09, national CPI inflation was 6.9% year-on-year and -0.5% month-on-month.",chunk_000636,https://www.pbs.gov.pk/wp-content/uploads/2020/07/Monthly-Review-June-2026.pdf,train
qa_00002,fact_lookup,What were Pakistan's national CPI YoY and MoM inflation rates in 2024-10?,"In 2024-10, national CPI inflation was 7.2% year-on-year and 1.2% month-on-month.",chunk_000637,https://www.pbs.gov.pk/wp-content/uploads/2020/07/Monthly-Review-June-2026.pdf,train
qa_00003,fact_lookup,What were Pakistan's national CPI YoY and MoM inflation rates in 2024-11?,"In 2024-11, national CPI inflation was 4.9% year-on-year and 0.5% month-on-month.",chunk_000638,https://www.pbs.gov.pk/wp-content/uploads/2020/07/Monthly-Review-June-2026.pdf,train
qa_00004,fact_lookup,What were Pakistan's national CPI YoY and MoM inflation rates in 2024-12?,"In 2024-12, national CPI inflation was 4.1% year-on-year and 0.1% month-on-month.",chunk_000639,https://www.pbs.gov.pk/wp-content/uploads/2020/07/Monthly-Review-June-2026.pdf,train
qa_00005,fact_lookup,What were Pakistan's national CPI YoY and MoM inflation rates in 2025-01?,"In 2025-01, national CPI inflation was 2.4% year-on-year and 0.2% month-on-month.",chunk_000640,https://www.pbs.gov.pk/wp-content/uploads/2020/07/Monthly-Review-June-2026.pdf,train
qa_00006,fact_lookup,What were Pakistan's national CPI YoY and MoM inflation rates in 2025-02?,"In 2025-02, national CPI inflation was 1.5% year-on-year and -0.8% month-on-month.",chunk_000641,https://www.pbs.gov.pk/wp-content/uploads/2020/07/Monthly-Review-June-2026.pdf,train
qa_00007,fact_lookup,What were Pakistan's national CPI YoY and MoM inflation rates in 2025-03?,"In 2025-03, national CPI inflation was 0.7% year-on-year and 0.9% month-on-month.",chunk_000642,https://www.pbs.gov.pk/wp-content/uploads/2020/07/Monthly-Review-June-2026.pdf,train
qa_00008,fact_lookup,What were Pakistan's national CPI YoY and MoM inflation rates in 2025-04?,"In 2025-04, national CPI inflation was 0.3% year-on-year and -0.8% month-on-month.",chunk_000643,https://www.pbs.gov.pk/wp-content/uploads/2020/07/Monthly-Review-June-2026.pdf,train
qa_00009,fact_lookup,What were Pakistan's national CPI YoY and MoM inflation rates in 2025-05?,"In 2025-05, national CPI inflation was 3.5% year-on-year and -0.2% month-on-month.",chunk_000644,https://www.pbs.gov.pk/wp-content/uploads/2020/07/Monthly-Review-June-2026.pdf,train
qa_00010,fact_lookup,What were Pakistan's national CPI YoY and MoM inflation rates in 2025-06?,"In 2025-06, national CPI inflation was 3.2% year-on-year and 0.2% month-on-month.",chunk_000645,https://www.pbs.gov.pk/wp-content/uploads/2020/07/Monthly-Review-June-2026.pdf,train
