auction_type,isin,tenor,issue_date,maturity_date,auction_date,settlement_date,target_amount_million_pkr,offered_competitive_face_value_million_pkr,offered_competitive_realized_value_million_pkr,accepted_competitive_face_value_million_pkr,accepted_competitive_realized_value_million_pkr,accepted_non_competitive_face_value_million_pkr,accepted_non_competitive_realized_value_million_pkr,short_sale_accommodated_face_value_million_pkr
Reopen,PK03P1502273,03-Year,2024-02-15,2027-02-15,2024-07-09,2024-07-10,75000,114884,114638.464,58484,58788.686,4727.5,4752.110638,0
Reopen,PK05P1701292,05-Year,2024-01-17,2029-01-17,2024-07-09,2024-07-10,60000,53500,53411.329,17250,17640.468,605,618.6945938,0
Reopen,PK10P1011338,10-Year,2023-11-10,2033-11-10,2024-07-09,2024-07-10,55000,37250,35429.061,0,0,0,0,0
Reopen,PK03P1502273,03-Year,2024-02-15,2027-02-15,2024-07-31,2024-08-01,50000,254301.4,258860.002,100025,102110.889,6963.9,7109.106957,0
Reopen,PK05P1701292,05-Year,2024-01-17,2029-01-17,2024-07-31,2024-08-01,40000,79055.8,75928.546,32381,31255.211,1316.1,1270.342522,0
Reopen,PK10P1011338,10-Year,2023-11-10,2033-11-10,2024-07-31,2024-08-01,35000,26750,26208.352,0,0,0,0,0
Fresh,PK02Z2009261,02-Year,2024-09-20,2026-09-20,2024-09-19,2024-09-20,75000,260501.2,197150.893,10000,7697.38,24060.4,18520.20418,9250
Fresh,PK03P2009278,03-Year,2024-09-20,2027-09-20,2024-09-19,2024-09-20,50000,155957,155766.306,1000,1026.679,15875.2,16298.73446,9500
Fresh,PK05P2009299,05-Year,2024-09-20,2029-09-20,2024-09-19,2024-09-20,50000,183525.5,184617.487,1100,1123.503,15466.4,15796.8551,9450
Fresh,PK10P2009349,10-Year,2024-09-20,2034-09-20,2024-09-19,2024-09-20,25000,30881,29846.57,12381,12285.407,3375,3348.837,1250
Reopen,PK02Z2009261,02-Year,2024-09-20,2026-09-20,2024-10-17,2024-10-18,50000,139000,108761.261,22000,17322.429,5261.5,4142.815655,5750
Reopen,PK03P2009278,03-Year,2024-09-20,2027-09-20,2024-10-17,2024-10-18,50000,107555,111211.834,7955,8337.322,16898.2,17710.32292,5550
Reopen,PK05P2009299,05-Year,2024-09-20,2029-09-20,2024-10-17,2024-10-18,50000,313061.5,327154.845,55150,58220.082,7632.1,8056.885356,5250
Reopen,PK10P2009349,10-Year,2024-09-20,2034-09-20,2024-10-17,2024-10-18,50000,98466.5,98895.126,61000,61950.983,4940,5016.926908,0
Reopen,PK02Z2009261,02-Year,2024-09-20,2026-09-20,2024-11-20,2024-11-21,100000,385120,307029.112,132670,106090.6196,10837.4,8666.213609,6000
Reopen,PK03P2009278,03-Year,2024-09-20,2027-09-20,2024-11-20,2024-11-21,50000,44700,46814.631,9900,10502.4101,7757,8228.989408,0
Reopen,PK05P2009299,05-Year,2024-09-20,2029-09-20,2024-11-20,2024-11-21,75000,392750,418930.485,145800,156108.6689,7998.6,8564.116222,9700
Reopen,PK10P2009349,10-Year,2024-09-20,2034-09-20,2024-11-20,2024-11-21,75000,69944.2,70348.47,32231.4,33222.2351,3057.2,3151.188091,2000
Reopen,PK02Z2009261,02-Year,2024-09-20,2026-09-20,2024-12-18,2024-12-19,150000,297750.7,241284.604,38450,31292.3115,20194.2,16434.90831,0
Reopen,PK03P2009278,03-Year,2024-09-20,2027-09-20,2024-12-18,2024-12-19,50000,66980,71209.134,26030,27864.9377,15197.9,16269.07276,0
Reopen,PK05P2009299,05-Year,2024-09-20,2029-09-20,2024-12-18,2024-12-19,100000,340000,367683.079,181400,196896.0528,3781.1,4104.095287,0
Reopen,PK10P2009349,10-Year,2024-09-20,2034-09-20,2024-12-18,2024-12-19,50000,119625,124972.312,95875,100988.2939,900,947.9784978,0
Fresh,PK02Z1601274,02-Year,2025-01-16,2027-01-16,2025-01-15,2025-01-16,100000,716072,569903.54,143125,114274.3081,25848,20637.612,20750
Fresh,PK03P1601281,03-Year,2025-01-16,2028-01-16,2025-01-15,2025-01-16,50000,400504.5,398723.347,75000,75203.325,12980,13015.202,5750
Fresh,PK05P1601302,05-Year,2025-01-16,2030-01-16,2025-01-15,2025-01-16,100000,378420,371959.005,107020,105572.1128,5526.1,5451.332,7000
Fresh,PK10P1601351,10-Year,2025-01-16,2035-01-16,2025-01-15,2025-01-16,50000,56212.5,52573.594,13712.5,13135.6088,1500,1436.867,2500
