auction_number,settlement_date,tenor,coupon_rate_pct,amount_accepted_million_pkr,weighted_average_yield_pct
1,2000-12-14,3-Year,12.5,1999,12.4507
1,2000-12-14,5-Year,13,213,12.949
1,2000-12-14,10-Year,14,2222,13.9667
2,2000-12-30,3-Year,12.5,506.5,12.4823
2,2000-12-30,5-Year,13,3059.2,12.9997
2,2000-12-30,10-Year,14,6174.1,13.9783
3,2001-02-14,3-Year,12.5,1208.5,12.427
3,2001-02-14,5-Year,13,451.6,12.9457
3,2001-02-14,10-Year,14,13845.5,13.9551
4,2001-04-18,3-Year,12.5,533.9,12.4719
4,2001-04-18,5-Year,13,1124.2,12.9913
4,2001-04-18,10-Year,14,9580.8,13.996
5,2001-05-21,3-Year,12.5,428.7,12.4859
5,2001-05-21,5-Year,13,469.1,12.9934
6,2001-06-16,10-Year,14,4306.8,14.0042
7,2001-07-21,3-Year,12.5,2385.4,12.4749
7,2001-07-21,5-Year,13,576.3,12.9924
9,2001-08-22,10-Year,13,6746.1,13.0002
10,2001-09-22,3-Year,11.8,3439,11.7921
10,2001-09-22,5-Year,12.2,2344.3,12.211
11,2001-10-30,10-Year,13,11904.5,12.4534
12,2001-11-22,3-Year,10.5,2213.9,10.4933
12,2001-11-22,5-Year,11,2801,10.9968
13,2001-12-24,10-Year,12,10448.7,11.9206
14,2002-01-28,3-Year,10.5,4780,9.1594
14,2002-01-28,5-Year,11,3150,10.0976
15,2002-02-28,10-Year,11,7660,10.4631
16,2002-03-28,3-Year,9,2621,8.356
16,2002-03-28,5-Year,10,5225.4,9.3916
17,2002-04-25,10-Year,11,3007.4,10.5465
18,2002-05-24,3-Year,9,1317.1,8.826
18,2002-05-24,5-Year,10,1684.5,9.8078
19,2002-06-17,10-Year,11,4886.5,10.8565
20,2002-07-19,3-Year,9,1558.5,7.9516
20,2002-07-19,5-Year,10,3518.4,8.887
21,2002-08-20,10-Year,11,7955,9.5874
22,2002-09-24,3-Year,9,2906.8,7.4644
22,2002-09-24,5-Year,10,3885,8.2633
23,2002-10-24,10-Year,11,12233.2,9.2951
24,2002-12-31,3-Year,7,2010.3,4.5564
24,2002-12-31,5-Year,8,1977,4.8557
24,2002-12-31,10-Year,9,968.5,5.5249
25,2003-03-26,3-Year,7,1000,2.792
25,2003-03-26,5-Year,8,1050,3.1162
25,2003-03-26,10-Year,9,1150,4.0138
26,2003-06-30,3-Year,7,2000,3.0843
26,2003-06-30,5-Year,8,3057.8,4.155
26,2003-06-30,10-Year,9,25562.2,5.6096
37900,1899-12-30,7.0000000000000007E-2,8,0.09,10
27,2003-10-06,3-Year,6,700,4.1063
27,2003-10-06,5-Year,7,1586.5,5.098
27,2003-10-06,10-Year,8,6424,6.2216
27,2003-11-06,3-Year,6,5943,4.03584
27,2003-11-06,5-Year,7,10116.8,5.05382
27,2003-11-06,10-Year,8,11533,6.1678
27,2003-12-06,3-Year,6,2794,3.9323
27,2003-12-06,5-Year,7,4457,4.9787
27,2003-12-06,10-Year,8,8453.2,6.2152
28,2004-01-20,15-Year,9,3329.9,7.683
28,2004-01-20,20-Year,10,3191,8.7058
29,2004-04-29,3-Year,6,3227,3.7342
29,2004-04-29,5-Year,7,8471.1,4.8665
29,2004-04-29,10-Year,8,15135.7,6.4533
29,2004-05-29,3-Year,6,1869,4.2354
29,2004-05-29,5-Year,7,3134,5.2699
29,2004-05-29,10-Year,8,10060.8,7.1268
30,2004-06-10,15-Year,9,3665.9,8.9935
30,2004-06-10,20-Year,10,3566,9.9927
34,2006-05-19,3-Year,9.1,3205.2,9.3887
34,2006-05-19,5-Year,9.3,4608.137607,9.6461
34,2006-05-19,10-Year,9.6,3424.050178,9.8454
34,2006-10-31,3-Year,9.1,3502.5,9.7776
34,2006-10-31,5-Year,9.3,1392.4,9.9298
34,2006-10-31,10-Year,9.6,3644.2,10.3945
35,2006-10-31,15-Year,10,3000,10.8504
35,2006-10-31,20-Year,10.5,4000,11.1727
35,2006-12-22,3-Year,9.1,1473.6,9.7165
35,2006-12-22,5-Year,9.3,694.2,10.0017
35,2006-12-22,10-Year,9.6,2735.1,10.5072
35,2006-12-22,15-Year,10,4000,11.0578
35,2006-12-22,20-Year,10.5,4000,11.3924
36,2006-12-22,30-Year,11,8000,11.6802
