name,type,description,nullable,constraints
auction_number,string,SBP auction number,true,
auction_type,string,PIB auction type such as Fresh or Reopen,true,
tenor,string,Security tenor,false,"Examples: 3-Month, 12-Month, 03-Year"
isin,string,International Securities Identification Number,true,
auction_date,date,Auction date,true,
issue_date,date,Security issue date,true,
maturity_date,date,Security maturity date,true,
settlement_date,date,Auction settlement date,true,
target_amount_million_pkr,number,Target auction amount in million PKR,true,
offered_competitive_face_value_million_pkr,number,Competitive bids offered at face value in million PKR,true,
offered_competitive_realized_value_million_pkr,number,Competitive bids offered at realized value in million PKR,true,
offered_non_competitive_face_value_million_pkr,number,Non-competitive bids offered at face value in million PKR,true,
accepted_competitive_face_value_million_pkr,number,Competitive bids accepted at face value in million PKR,true,
accepted_competitive_realized_value_million_pkr,number,Competitive bids accepted at realized value in million PKR,true,
accepted_non_competitive_face_value_million_pkr,number,Non-competitive bids accepted at face value in million PKR,true,
accepted_non_competitive_realized_value_million_pkr,number,Non-competitive bids accepted at realized value in million PKR,true,
short_sale_accommodated_face_value_million_pkr,number,Short sale accommodated at face value in million PKR,true,
cutoff_price,number,T-bill auction cut-off price,true,
realized_amount_million_pkr,number,Realized amount in million PKR,true,
coupon_rate_pct,number,PIB coupon rate in percent,true,
amount_accepted_million_pkr,number,Amount accepted in million PKR,true,
weighted_average_yield_pct,number,Weighted-average auction yield in percent,true,
face_value_million_pkr,number,Outstanding face value in million PKR,true,
