name,facility_type,amenity,speciality,operator,operator_type,beds,emergency,address,operational_status,longitude,latitude,osm_id,source
Karim Bux Nursing Hostal,hospital,hospital,,,,,,,,67.064846,24.898128,5147825920,
Chohan Clinic,doctors,doctors,,,,,,,,74.327058,31.542741,4387287290,
Moosani Dental Surgery,clinic,clinic,,,,,,,,67.056008,24.864497,5133026894,
Aga Khan Dispensary Salimabad,clinic,clinic,,,,,,,,67.075686,24.934709,5146930683,
Dr Azhra Hospital,hospital,hospital,,,,,,,,67.101853,24.922907,4793731858,
Hospital,hospital,hospital,,,,,,,,73.151913,32.373558,5507599315,
Dr Dil Raj,doctor,doctors,orthopaedics,,,,,,,72.460068,34.506087,6536727726,
Fatima Hospital,hospital,hospital,general,Dr. Amin,,,yes,,,74.147526,32.307013,2961536114,
Sadia Tariq Clinic,clinic,clinic,,,,,,,,71.672653,29.407284,4923820119,
Kara Medical Clinic,clinic,clinic,,,,,,,,67.064195,24.889942,4779033041,
Pak Medico Store,pharmacy,pharmacy,,,,,,,,67.0881,24.87484,4788607083,
,hospital,hospital,,,,,,,,73.581369,32.42991,4366015691,
Tehsil Head Quatar Hospital Jahanian,hospital,hospital,,,,,,,,,,531275744,
Zahid Medical Centre & Maternity Home,hospital,hospital,,,,,,,,66.884894,25.027175,5314852221,
United Hospital,hospital,hospital,,,,,,,,73.137636,31.438768,5267889391,
Nishtar Medical College,hospital,hospital,,,,,,,,71.444061,30.202948,444356921,
"Doctors Plaza, The Plaza",hospital,hospital,,,,,,,,67.034916,24.821564,5133405491,
Safdar Medical Store,pharmacy,pharmacy,,,,,,,,74.871053,32.101178,4258681192,
Waqar Medical Store,pharmacy,pharmacy,,,,,,,,66.932226,24.964273,5312348466,
Kosar Medical Center,hospital,hospital,,,,,,,,67.060628,24.916159,5286054986,
Al Hammed Medical Store,pharmacy,pharmacy,,,,,,,,67.072678,24.960261,5117635011,
Hearts Pharmacy,pharmacy,pharmacy,,,,,,,,73.10651,33.561787,1423658185,
Karachi Psychiatric Hospital,hospital,hospital,,,,,,,,67.030941,24.917029,5128052897,
Altamash Institute of Dental Medicine,dentist,dentist,,,,,,,,67.021558,24.814703,4785000935,
SAJID MEDICAL STORE,pharmacy,pharmacy,,,,,,,,71.933637,34.581772,5312436429,
Faiz E Aam General Hospital And Maternity,hospital,hospital,,,,,,,,67.127644,25.01624,5069109836,
Homeopathic Pharmacy,pharmacy,pharmacy,,,,,,,,67.067268,24.881867,4777144240,
DOCTORS PLAZA,hospital,hospital,,,,,,,,68.356747,25.371198,1088992109,
Primary Health Center,hospital,hospital,,,,,,,,73.609949,33.024933,5533146521,
Shifa ul Mulk Memorial Hospital,hospital,hospital,,,,,,,,67.014008,25.090022,5134471725,
Al-Nasar,hospital,hospital,,,,,,,,74.303033,31.474864,5334281221,
Jameel Medicos,pharmacy,pharmacy,,,,,,,,67.068484,24.96694,5084136016,
Umar Pharmacy,hospital,hospital,,,,,,,,71.542775,32.581705,4327680649,
Surgimed Hospital Lahore,hospital,hospital,,,,,yes,,,74.351274,31.538094,5255279607,
Sailani Medical & Super Store,clinic,clinic,,,,,,,,67.094256,24.93244,4739833631,
Dr.Shagufta Zaheer Maternity Clinic,hospital,hospital,,,,,,,,73.112324,31.402605,5259931219,
Corner Chemist,pharmacy,pharmacy,,,,,,,,67.050647,24.956706,3847129039,
Shezad medical store,clinic,clinic,,,,,,,,73.078704,31.421078,6344941785,
RHC Mandra,hospital,hospital,,,,,yes,,,,,256582068,
Government Veterinary Hospital Chak No 220 RB Faisalabad,hospital,hospital,,,,,no,,,73.040618,31.418063,5259596759,
Bashir Butt Memorial Hospital,hospital,hospital,,,,,,,,74.200259,32.174427,4905664785,
Cavalry Hospital Lahore,hospital,hospital,,,,,,,,74.36307,31.501934,5259654964,
Sajid Clinic,clinic,clinic,,,,,,,,67.012995,24.941,5147772667,
East Side Hospital - Korangi,hospital,hospital,,,,,,,,67.118828,24.837999,4769518748,
Sindh Institute of Ophthalmology Eye Hospital Hyderabad,clinic,clinic,,,,,,,,68.365018,25.411975,4838571870,
,pharmacy,pharmacy,,,,,,,,71.682478,29.391361,4502424990,
MI Room,hospital,hospital,,,,,,,,71.990297,34.056725,5293768021,
Sharjah Medical Store,pharmacy,pharmacy,,,,,,,,74.177106,32.123456,4905790438,
Umar Hospital,hospital,hospital,,,,,,,,73.080504,31.435249,5193820226,
,dentist,dentist,,,,,,,,71.400771,30.168755,4749346321,
Rahim Hospital,doctors,doctors,,,,,,,,,,258522573,
Fatma Hospital,hospital,hospital,,,,,,,,67.110807,24.917986,6305478232,
Al Shifa Medical and Welfare Clinic,clinic,clinic,,,,,,,,67.137485,24.934895,5130443944,
Noor Clinic,clinic,clinic,,,,,,,,,,541330379,
BHU Basic Health Centre,clinic,clinic,,,,,,,,,,263412807,"bing, Wikimapia"
,pharmacy,pharmacy,,,,,,,,74.354928,35.901657,6758748285,
Amna Skin Care and Hair Transplant,clinic,clinic,,,,,,,,72.724446,33.785398,5416875311,
MMC,hospital,hospital,,,,,,,,71.599578,34.033108,6385698386,
Shaukat Khanum Laboratory Collection Centre,pharmacy,pharmacy,,,,,,,,73.057908,33.709842,4966256877,
Al-Mujeeb Hospital,hospital,hospital,,,,,,,,67.065133,25.02393,5329382230,
Irfan Medical Store,pharmacy,pharmacy,,Dr. Shabir,,,,,,74.423978,32.382452,3501693086,
PPHI,clinic,clinic,,,,,,,,69.015184,25.434101,5406055639,
"The Smart School, Iqbal Campus",hospital,hospital,,,,,,,,67.133548,24.928733,5317775547,
Fatima Kidney Care Hospital,hospital,hospital,,,,,yes,,,67.037744,25.002597,5128396157,
Johar Khatoon,hospital,hospital,,,,,,,,,,106359697,Local Knowledge
BMC Medical College,doctors,doctors,,,,,,,,66.974314,30.191222,4492365191,
heart Specialist,clinic,clinic,,,,,,,,73.742019,33.147045,6408007785,
,hospital,hospital,,,,,,,,73.568293,32.430001,4439299795,
Hameed Hospital,hospital,hospital,,,,,,,,72.402364,33.879399,4475431689,
City Mart & Pharmacy,pharmacy,pharmacy,,,,,,,,67.04664,24.799666,4788531526,
Rehman Free Dialysis Center,hospital,hospital,,,,,,,,73.128422,31.434459,5267806240,
Punjab Social Security Hospital,hospital,hospital,,,,,yes,,,,,262405369,
Taluka Hospital Lakhi,hospital,hospital,,,,,yes,,,,,295087045,
Banaras National Hospital,hospital,hospital,,,,,,,,67.008499,24.943016,5088685994,
Kausar Medicos,pharmacy,pharmacy,,,,,,,,67.012186,24.857431,4791991084,
"Aliabad, Hospital",hospital,hospital,,,,,,,,74.614497,36.309495,444597688,
choohar chak gujranwala,clinic,clinic,,,,,,,,73.944712,32.032896,4543006229,
DHQ Hospital,hospital,hospital,,,,,,,,,,677846489,
Labour Hospital,hospital,hospital,,,,,yes,,,67.932325,30.106247,3037408245,
Vaccine Care,clinic,clinic,,,,,,,,71.451833,33.994073,6450693687,
Jinnah Hospital,hospital,hospital,,,,,,,,73.129972,31.403694,5263913101,
The Medicos,pharmacy,pharmacy,,Harindar Kumar,,,,,,72.452588,34.598064,4989822322,
Hakeem Ubaid,doctors,doctors,,,,,,,,71.349467,29.828188,4437516391,
Haleema Medical Complex,hospital,hospital,,,,,,,,71.448791,30.203283,1921953434,
FAAS Pharmaceuticals,pharmacy,pharmacy,,,,,,,,66.995365,24.905847,5092989974,
Tawakel Medical Cenyer,clinic,clinic,,,,,,,,67.002274,24.952644,5097989043,
Agha Khan Diagnostic Center,hospital,hospital,,,,,,,,67.033755,24.938497,4739903920,
Farooq Hospital,hospital,hospital,,,,,,,,74.235773,31.46539,4387273191,
LRBT Eye Hospital,hospital,hospital,,,,,yes,,,,,257133789,
Farooq e Azam Computer Institute,hospital,hospital,,,,,,,,67.052318,24.949322,5199415800,
Pharmic Plus,pharmacy,pharmacy,,,,,,,,67.061778,24.80722,4770056042,
Citi Pharmacy,pharmacy,pharmacy,,,,,,,,71.680027,29.39083,4923902161,
civil hospital road,hospital,hospital,,,,,,,,71.917978,30.2844,4577564289,
PAF Hospital,hospital,hospital,,,,,,,,72.680504,32.05635,4320650680,
Surgical Centre Islamabad,hospital,hospital,general;gynaecology;orthopaedics;dermatology;surgery;clinic,,,,no,,,73.033315,33.714944,6521223343,
Shaheen Pharmacy,pharmacy,pharmacy,,,,,,,,73.075512,33.729717,660956958,
Tehsil Headquarters Hospital,hospital,hospital,,,,,,,,72.257976,36.27165,3559437851,
Mujahid Pharmacy,pharmacy,pharmacy,,,,,,,,73.118972,31.423242,5194296828,
Mian Meer Welfair Hospital,hospital,hospital,,,,,,,,74.357159,31.548434,5267413985,
Al Noor Hospital,hospital,hospital,,,,,,,,,,552937341,
Ghurki Hospital,hospital,hospital,,,,,,,,74.502063,31.590005,5255424739,
District Hospital Charsadda,hospital,hospital,,,,,,,,71.744907,34.153267,4641731290,
Zara Clinic & Maternity Home,hospital,hospital,,,,,,,,66.936736,24.945402,5311735172,
NESCOM Hospital,hospital,hospital,,,,,yes,,,73.017412,33.649037,2656259979,
Fazal Din,pharmacy,pharmacy,,,,,,,,74.298454,31.483231,4916641152,
Rasheed Medical Store,pharmacy,pharmacy,,,,,,,,71.365771,32.28696,4753219656,
Civil Hospital,hospital,hospital,,,,,,,,,,446741558,
Citi Hospital,hospital,hospital,,,,,,,,72.416753,32.928655,6662693554,
shahid medicose,pharmacy,pharmacy,,,,,,,,72.987792,33.618446,4423794492,
Dr Ejaz Ahmad,doctors,doctors,,,,,,,,71.931997,30.296385,4916682223,
علی میڈیکل سٹور,pharmacy,pharmacy,,,,,,,,70.329483,33.700341,4149296190,
Clinix Pharmacy (Defence Branch),pharmacy,pharmacy,,,,,,,,74.407555,31.483626,5251896790,
Fauji Foundation Hospital,hospital,hospital,,,,,,,,74.394924,31.500104,3228646369,
Dr Sadia Saboor Clinic,clinic,clinic,,,,,,,,74.541764,32.488739,5525799022,
Dr. Madad Ali,clinic,clinic,,,,,,,,69.10984,25.154463,5481213516,
,pharmacy,pharmacy,,,,,,,,74.316153,31.466112,1715928613,
Poly Clinic Hospital,hospital,hospital,,,,,,,,73.082805,33.721101,253018400,
DHQ Hospital,hospital,hospital,,,,,,,,73.490952,32.582344,6083412678,
Munawar Hospital,hospital,hospital,,,,,,,,67.051725,24.931805,4739775279,
Kidney Care Centre,hospital,hospital,,,,,,,,67.043933,24.850152,5132720043,
Services Hospital,hospital,hospital,,,,,,,,74.334096,31.539394,4424914194,
Iqbal Clinic,clinic,clinic,,,,,,,,67.064936,24.861125,5131024099,
Showkat & Hussain Clinic,clinic,clinic,,,,,,,,72.371384,34.769067,4447665138,
Dr. Zia & Associates Dental Practice,clinic,clinic,,,,,,,,67.046677,24.797516,5130890319,
Dr. Rafia Manthar,clinic,clinic,,,,,,,,69.015302,25.525986,5338152501,
Medcare International Hospital,hospital,hospital,,,,,,,,74.189887,32.177091,4903545837,
Farzana Clinic,clinic,clinic,,,,,,,,,,543626260,
District Headquarter Hospital,hospital,hospital,,,,,,,,71.543373,32.580488,4327680634,
Markaz e seht karianwala,hospital,hospital,,,,,,,,,,442997637,
Khatak chemist,pharmacy,pharmacy,,,,,,,,73.089037,33.585964,1412407850,
Ali Sher Trust Hospital,hospital,hospital,,,,,,,,73.13573,31.403841,5263913120,
Saleem Medical Complex,pharmacy,pharmacy,,,,,,,,67.007511,30.190325,4468016990,
Combined Military Hospital,hospital,hospital,,,,,,,,74.372582,31.540665,1366525560,
Mehria Medical Store,pharmacy,pharmacy,,,,,,,,73.181508,33.645532,1669871371,
Wapda Hospital,hospital,hospital,,,,,,,,68.351563,25.363498,5323368815,
Dr. Rafiq Tareen Skin Clinic,clinic,clinic,,,,,,,,67.040259,24.817583,5130890317,
Khyber Teaching Hospital - Accident and Emergency,hospital,hospital,,,,,yes,,,71.485682,33.996284,1226398110,
Dow Lab Collection Centre,clinic,clinic,,,,,,,,67.144226,24.824413,5137399529,
Bin Nasir Yunani Store,alternative,,,,,,,,,,,699028290,
Sufi Dawakhana,clinic,clinic,,,,,,,,73.977674,30.964564,5141127121,
New Social Security Hospital,hospital,hospital,,,,,,,,73.995852,31.709207,4912198481,
National Laboratory,clinic,clinic,,,,,,,,73.079962,31.447029,5259596738,
Masoomeen Hospital,hospital,hospital,,,,,,,,66.99564,24.858048,5162828837,
AORC - Advance Orthopedic & Reconstructive Clinic,clinic,clinic,,,,,,,,67.068429,24.83498,5128635958,
Saaem Surgical & Maternity Home,hospital,hospital,,,,,,,,74.076323,32.570644,5514787426,
Defence National Hospital,hospital,hospital,,,,,,,,74.357313,31.554236,5259837119,
Family Planning Hospital,hospital,hospital,,,,,,,,73.445008,36.230669,3997211766,
DHA Clinic,clinic,clinic,,,,,,,,,,307856160,
Imam Zain-ul-Abedien (A.S) Hospital,hospital,hospital,,,,,,,,67.028771,24.899603,4734370172,
Dispencary,doctors,doctors,,,,,,,,74.707053,36.750473,4035914466,
Ayesha Hospital,hospital,hospital,,,,,yes,,,74.392824,31.494956,5259747063,
Hamdard Dawakhana,clinic,clinic,,,,,,,,67.071853,24.833275,5265850536,
Agha Khan Lab,pharmacy,pharmacy,,,,,,,,71.449993,30.202489,1921952406,
DHQ hospital Pishin,hospital,hospital,,,,,,,,,,661374649,
Rahat Dental and Health Care,clinic,clinic,,,,,,,,74.202504,32.167952,4579980693,
Sughra Trust Hospital,hospital,hospital,,,,,,,,73.062857,31.407645,5255617524,
Karachi Medical,pharmacy,pharmacy,,,,,,,,67.108408,24.81639,5144939670,
Civil Hospital,hospital,hospital,,,,,,,,72.282112,34.346705,4239988392,
Mall Physiotherapy Clinic - Zamzama,physiotherapist,clinic,,,,,,,,67.04027,24.816319,5142741144,
Sialko Pak Ghazi Road,doctors,doctors,,,,,,,,74.571454,32.52046,5272501221,
Pharmacy,pharmacy,pharmacy,,,,,,,,71.54286,33.659777,3287095940,
Combined Military Hospital,hospital,hospital,,,,,,,,,,288994075,
Kamal Medical Store,pharmacy,pharmacy,,,,,,,,67.126269,24.912062,4772834134,
Nelson Pharmacy,pharmacy,pharmacy,,,,,,,,73.048763,33.595553,4101534190,
Dawakhana Hakeem Suleman,pharmacy,pharmacy,,,,,,,,74.306327,31.588608,4912291864,
Reliance Hospital,hospital,hospital,,,,,,,,73.125628,33.550308,5165252847,
The Kidny Post Gradute Centre,hospital,hospital,,,,,,,,67.252593,24.847919,5128547826,
Zubaida Medical Hospital,hospital,hospital,,,,,yes,,,67.082234,24.883327,4734370142,
CPSP REGIONAL CENTRE,hospital,hospital,,,,,,,,68.332713,25.377185,5251853742,
Northwest General Hospital & Research Cnter,hospital,hospital,,,,,yes,,,71.435806,33.993929,1224404657,
Children Hosptital Quetta,hospital,hospital,,,,,,,,,,653421665,
Gas Store;Sultan Zarin Clinic,clinic,clinic,,,,,,,,72.369371,34.76759,4460599375,
Basic Health Unit Ganichatra,hospital,hospital,,,,,,,,72.657745,34.250638,5432783322,
Kashif Medical Tando Adam,hospital,hospital,,,,,,,,68.659098,25.762259,4883331107,
Tesco Pharmacy,pharmacy,pharmacy,,,,,,,,67.063468,24.808986,4770061350,
Pakistan Medical Centre,pharmacy,,,,,,,,,,,687764266,
Baqai Hospital - Gadap,hospital,hospital,,,,,,,,67.213367,24.987939,5133037189,
Alshifa Clinic,clinic,clinic,,,,,,,,67.071092,24.821343,5130443946,
Al Razi Healthcare,hospital,hospital,,,,,,,,74.292523,31.51797,5255673575,
,doctors,doctors,,,,,,,,74.290422,31.522,1534280398,
,clinic,clinic,,,,,,,,67.495241,26.571771,4666595590,
Shehnaz Hospital,hospital,hospital,,,,,,,,74.381312,31.57695,5255279616,
Sindh Clinic And Maternity Home,hospital,hospital,,,,,,,,68.535991,25.123559,4883541264,
Dental Clinic,dentist,dentist,,,,,,,,72.963974,33.651718,5595053022,
Abbasi Shaheed Hospital,hospital,hospital,,,,,,,,67.028837,24.920251,4757989798,
Dr. Hilal Akhtar Mahpuri,clinic,clinic,,,,,,,,67.079599,24.90352,5130890309,
Times Hospital,hospital,hospital,,,,,,,,74.299378,31.48373,4916641149,
Siddique Orthopaedic & Rehabilitation Complex,hospital,hospital,,,,,,,,73.080289,31.446338,5259596741,
Medical Store,pharmacy,pharmacy,,,,,,,,72.333406,31.263551,6182717598,
Dr. Chandar Prakash Soni,clinic,clinic,,,,,,,,69.108495,25.155636,5481213818,
Chaudhary Medical Store,pharmacy,pharmacy,,,,,,,,74.380907,31.565129,4517354900,
Ali Clinic,clinic,clinic,,,,,,,,67.017663,24.811633,4742815625,
Madni General Store,pharmacy,pharmacy,,,,,,,,67.202193,24.892444,4767455718,
Jinnah Medical College Hospital,hospital,hospital,,,,,yes,,,,,151733317,
shaheen Pharmacy,pharmacy,pharmacy,,,,,,,,72.854357,32.932534,4144378289,
Anwar Clinic & Hospital,clinic,clinic,,,,,,,,67.13058,24.874708,5130498609,
Naseer clinic,clinic,clinic,,,,,,,,73.500889,32.296929,4744588821,
Doctor Clinic,hospital,hospital,,,,,,,,72.322231,31.267254,6182717603,
Aakif Eye Hospital,hospital,hospital,,,,,,,,73.833018,31.74918,4469612790,
Malik Jawad,doctors,doctors,,,,,,,,72.283153,32.928067,4259606089,
Noor Medical Store,pharmacy,pharmacy,,,,,,,,67.056245,24.891821,5346919274,
Fayyaz Medical Centre,pharmacy,pharmacy,,,,,,,,67.175284,24.83375,5133527594,
City Care Hospital,hospital,hospital,,,,,,,,68.36942,25.381594,5252277846,
New Trauma Center DHQ,hospital,hospital,,,,,,,,71.542342,32.577771,6338688185,
Latif Health Center,hospital,hospital,,,,,,,,73.015694,33.676462,6208206588,
Sardar Begum Hospital,hospital,hospital,,,,,,,,,,365523000,
سدہ,clinic,clinic,,,,,,,,70.354673,33.711964,4100357989,
DHA Medical Center Phase III,hospital,hospital,,,,,yes,,,74.371498,31.476734,271105745,
,clinic,clinic,,,,,,,,72.356944,34.757472,4470163736,
Indus Medical & General Store,hospital,hospital,,,,,,,,67.357681,24.871118,6758652193,
Manzoor Hair Transplant,clinic,clinic,,,,,,,,67.023327,24.817912,5133026867,
Concept Fertility Centre,hospital,hospital,,,,,,,,67.035442,24.832117,5130890299,
DR. Nigar AHMED,clinic,clinic,,,,,,,,69.013698,25.518797,5384788144,
Muhammadi Hospital,hospital,hospital,,,,,,,,74.29811,31.571091,5259747067,
sadiq medicose,pharmacy,pharmacy,,,,,,,,71.559698,34.003463,4570347090,
Cosmo Derme Skin Treatment Clinic,clinic,clinic,,,,,,,,67.048251,24.794235,5130890301,
"Al-Khidmat Hospital, Shahfaisal",hospital,hospital,,,,,,,,67.141919,24.880142,5130353812,
Al-Khair Medical Complex,hospital,hospital,,,,,,,,67.000392,30.185707,6152161710,
Noor Medical Store,pharmacy,pharmacy,,,,,,,,67.066897,24.887064,4773326195,
Azam Town General Hospital,hospital,,,,,,,,,,,687763114,
District Headquarter Hospital,hospital,hospital,,Government of Pakistan,,,,,,,,242492250,
ZAKAI DENTAL HOSPITAL,hospital,hospital,,,,,,,,67.12844,24.92937,5128563370,
Karachi X-Ray,clinic,clinic,,,,,,,,,,352790756,
Patel Hospital,hospital,hospital,,,,,yes,,,,,152324960,"bing, url"
Dr.Rafee Clinic,clinic,clinic,,,,,,,,74.315979,31.598562,4912575641,
Usman Medical & General Store,pharmacy,pharmacy,,,,,,,,67.176715,24.877388,5287119646,
,hospital,hospital,,,,,,,,67.028023,24.872121,765916927,
Said Mittha Hospital,hospital,hospital,,,,,,,,,,607798443,
Al Noor Hospital,hospital,hospital,,,,,,,,74.265379,31.5038,5259747070,
Dr. Zahid Pharmacy,clinic,clinic,,,,,,,,67.014904,24.941973,5147643033,
National Institute of Health (NIH) Islamabad,hospital,hospital,,,,,,,,,,361766392,
Al-Khidmat Hospital,hospital,hospital,,,,,,,,67.205265,24.903499,5130353811,
Combined Military Hospital,hospital,hospital,,,,,,,,69.442154,31.343993,6685687319,
Al-Khidmat Medical Centre,hospital,hospital,,,,,,,,67.065355,24.984727,5084263561,
Dr. Rasheed House,doctors,doctors,,,,,,,,72.766023,31.258512,4232754762,
Clifton Kidney & General Hospital,hospital,hospital,,,,,,,,67.022286,24.816223,4761891272,
Azhar Clinic,clinic,clinic,,,,,,,,67.05997,24.872544,5090984180,
Al Noor Clinic,clinic,clinic,,,,,,,,66.98892,24.871097,5130374115,
Bari Clinic & Hospital,hospital,hospital,,,,,yes,,,74.344827,31.502177,5255673576,
Saira Memorial Hospital,hospital,hospital,,,,,,,,74.312232,31.481215,5255461650,
Evershine medical store,pharmacy,pharmacy,,,,,,,,69.017195,25.51227,4959284324,
Rashid Medical & General Store,pharmacy,pharmacy,,,,,,,,67.205479,24.903579,4767455666,
Dr. Prem Babu,clinic,clinic,,,,,,,,69.377951,25.826635,5406055642,
Dr. Altaf Cheema,clinic,clinic,,,,,,,,74.320338,31.499356,5741578396,
Tooba Medical Center,hospital,hospital,,,,,,,,67.063704,24.944364,5137608482,
FM Hospital,hospital,hospital,,,,,,,,67.05259,24.957964,5130954910,
Government veterinary hospital,hospital,hospital,general,,,,,,,,,573878636,
Chohan Eye Hospital,hospital,hospital,,,,,,,,73.050378,33.709071,4963977785,
Bajwa Pharmaceuticals Pvt. Ltd,pharmacy,pharmacy,,,,,,,,74.254899,31.801415,4907133720,
Qureshi Medicose,pharmacy,pharmacy,,,,,,,,73.21278,34.147695,3093706571,
,clinic,clinic,,,,,,,,69.022287,25.543698,5365868247,
Sheikh Zaed Women Hospital,hospital,hospital,,,,,,,,,,383558407,
Al Shahbaz,pharmacy,pharmacy,,,,,,,,69.013648,25.525521,5338152496,
Al-Khidmat Hospital and Maternity Home,hospital,hospital,,,,,,,,67.031663,24.905183,5127967766,
Hamdard University OPD,hospital,hospital,,,,,,,,67.012582,25.079274,5134471420,
Khatak Hospital,hospital,hospital,,,,,,,,67.206589,24.850669,5133048481,
Zahedi Hospital  (Pvt).,hospital,hospital,,,,,,,,73.99464,33.142618,4202201391,
