indicator_code,indicator_name,year,value,unit
SH.DTH.COMM.ZS,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",2000,52.0241577791822,percent_of_total_deaths
SH.DTH.COMM.ZS,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",2010,44.5878713801873,percent_of_total_deaths
SH.DTH.COMM.ZS,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",2015,38.1888999785228,percent_of_total_deaths
SH.DTH.COMM.ZS,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",2019,34.3431916493645,percent_of_total_deaths
SH.DTH.COMM.ZS,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",2020,37.768489061811,percent_of_total_deaths
SH.DTH.COMM.ZS,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",2021,37.2884010066938,percent_of_total_deaths
SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)",1960,252.8,per_1000_live_births
SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)",1961,243.5,per_1000_live_births
SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)",1962,235,per_1000_live_births
SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)",1963,226.8,per_1000_live_births
SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)",1964,219.5,per_1000_live_births
SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)",1965,213.1,per_1000_live_births
SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)",1966,207.3,per_1000_live_births
SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)",1967,202.4,per_1000_live_births
SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)",1968,198.1,per_1000_live_births
SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)",1969,194.3,per_1000_live_births
SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)",1970,190.8,per_1000_live_births
SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)",1971,187.5,per_1000_live_births
SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)",1972,184.4,per_1000_live_births
SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)",1973,181.5,per_1000_live_births
SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)",1974,178.9,per_1000_live_births
SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)",1975,176.4,per_1000_live_births
SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)",1976,174.1,per_1000_live_births
SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)",1977,171.9,per_1000_live_births
SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)",1978,169.9,per_1000_live_births
SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)",1979,167.8,per_1000_live_births
SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)",1980,165.7,per_1000_live_births
SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)",1981,163.6,per_1000_live_births
SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)",1982,161.4,per_1000_live_births
SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)",1983,159.1,per_1000_live_births
SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)",1984,156.6,per_1000_live_births
SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)",1985,153.9,per_1000_live_births
SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)",1986,151.3,per_1000_live_births
SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)",1987,148.5,per_1000_live_births
SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)",1988,145.8,per_1000_live_births
SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)",1989,143.1,per_1000_live_births
SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)",1990,140.4,per_1000_live_births
SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)",1991,137.6,per_1000_live_births
SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)",1992,134.6,per_1000_live_births
SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)",1993,131.5,per_1000_live_births
SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)",1994,128.3,per_1000_live_births
SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)",1995,125,per_1000_live_births
SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)",1996,121.5,per_1000_live_births
SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)",1997,117.9,per_1000_live_births
SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)",1998,114.5,per_1000_live_births
SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)",1999,111.1,per_1000_live_births
SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)",2000,107.9,per_1000_live_births
SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)",2001,105.1,per_1000_live_births
SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)",2002,102.5,per_1000_live_births
SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)",2003,100.1,per_1000_live_births
SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)",2004,98,per_1000_live_births
SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)",2005,96,per_1000_live_births
SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)",2006,94.2,per_1000_live_births
SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)",2007,92.3,per_1000_live_births
SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)",2008,90.5,per_1000_live_births
SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)",2009,88.5,per_1000_live_births
SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)",2010,86.5,per_1000_live_births
SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)",2011,84.3,per_1000_live_births
SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)",2012,82,per_1000_live_births
SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)",2013,79.6,per_1000_live_births
SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)",2014,77.2,per_1000_live_births
SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)",2015,74.8,per_1000_live_births
SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)",2016,72.4,per_1000_live_births
SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)",2017,70.1,per_1000_live_births
SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)",2018,67.9,per_1000_live_births
SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)",2019,65.8,per_1000_live_births
SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)",2020,63.7,per_1000_live_births
SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)",2021,61.7,per_1000_live_births
SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)",2022,59.7,per_1000_live_births
SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)",2023,57.8,per_1000_live_births
SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)",2024,56,per_1000_live_births
SH.H2O.BASW.ZS,People using at least basic drinking water services (% of population),2000,87.3443263636155,percent_of_population
SH.H2O.BASW.ZS,People using at least basic drinking water services (% of population),2001,87.5860762080419,percent_of_population
SH.H2O.BASW.ZS,People using at least basic drinking water services (% of population),2002,87.8248146353087,percent_of_population
SH.H2O.BASW.ZS,People using at least basic drinking water services (% of population),2003,88.062537100299,percent_of_population
SH.H2O.BASW.ZS,People using at least basic drinking water services (% of population),2004,88.2993740055727,percent_of_population
SH.H2O.BASW.ZS,People using at least basic drinking water services (% of population),2005,87.9858227113677,percent_of_population
SH.H2O.BASW.ZS,People using at least basic drinking water services (% of population),2006,88.1422644667259,percent_of_population
SH.H2O.BASW.ZS,People using at least basic drinking water services (% of population),2007,88.3130427829655,percent_of_population
SH.H2O.BASW.ZS,People using at least basic drinking water services (% of population),2008,88.4820319386941,percent_of_population
SH.H2O.BASW.ZS,People using at least basic drinking water services (% of population),2009,88.6492343131649,percent_of_population
SH.H2O.BASW.ZS,People using at least basic drinking water services (% of population),2010,88.8147345072875,percent_of_population
SH.H2O.BASW.ZS,People using at least basic drinking water services (% of population),2011,88.978515573403,percent_of_population
SH.H2O.BASW.ZS,People using at least basic drinking water services (% of population),2012,89.1405658210321,percent_of_population
SH.H2O.BASW.ZS,People using at least basic drinking water services (% of population),2013,89.3007289268109,percent_of_population
SH.H2O.BASW.ZS,People using at least basic drinking water services (% of population),2014,89.4591472805659,percent_of_population
SH.H2O.BASW.ZS,People using at least basic drinking water services (% of population),2015,89.6158196961384,percent_of_population
SH.H2O.BASW.ZS,People using at least basic drinking water services (% of population),2016,89.7707150440618,percent_of_population
SH.H2O.BASW.ZS,People using at least basic drinking water services (% of population),2017,89.9237776878555,percent_of_population
SH.H2O.BASW.ZS,People using at least basic drinking water services (% of population),2018,90.0758470234098,percent_of_population
SH.H2O.BASW.ZS,People using at least basic drinking water services (% of population),2019,90.2267743289886,percent_of_population
SH.H2O.BASW.ZS,People using at least basic drinking water services (% of population),2020,90.3763302585524,percent_of_population
SH.H2O.BASW.ZS,People using at least basic drinking water services (% of population),2021,90.5243087608224,percent_of_population
SH.H2O.BASW.ZS,People using at least basic drinking water services (% of population),2022,90.6704556362056,percent_of_population
SH.H2O.BASW.ZS,People using at least basic drinking water services (% of population),2023,90.6815872292919,percent_of_population
SH.H2O.BASW.ZS,People using at least basic drinking water services (% of population),2024,90.6932992273275,percent_of_population
SH.MED.BEDS.ZS,"Hospital beds (per 1,000 people)",1960,0.55726158618927,per_1000_people
SH.MED.BEDS.ZS,"Hospital beds (per 1,000 people)",1970,0.520799994468689,per_1000_people
