period,year,month,national_cpi_yoy_pct_2015_16,urban_cpi_yoy_pct_2015_16,rural_cpi_yoy_pct_2015_16,wpi_yoy_pct_2015_16,cpi_yoy_pct_2007_08_published,wpi_yoy_pct_2007_08_published,source_url
2017-07,2017,7,3.9,4.4,3.1,1.9,2.9,0.7,https://www.pbs.gov.pk/wp-content/uploads/2020/07/indices.pdf
2017-08,2017,8,4.4,5.1,3.4,2,3.4,1,https://www.pbs.gov.pk/wp-content/uploads/2020/07/indices.pdf
2017-09,2017,9,4.7,5.2,3.9,2.7,3.9,1.6,https://www.pbs.gov.pk/wp-content/uploads/2020/07/indices.pdf
2017-10,2017,10,4.8,5.3,4.2,3.7,3.8,2.3,https://www.pbs.gov.pk/wp-content/uploads/2020/07/indices.pdf
2017-11,2017,11,5,5.4,4.4,4.2,4,2.9,https://www.pbs.gov.pk/wp-content/uploads/2020/07/indices.pdf
2017-12,2017,12,5.6,6.1,4.9,4.5,4.6,3.4,https://www.pbs.gov.pk/wp-content/uploads/2020/07/indices.pdf
2018-01,2018,1,5.2,5.4,4.9,6.4,4.4,4.7,https://www.pbs.gov.pk/wp-content/uploads/2020/07/indices.pdf
2018-02,2018,2,4.5,4.8,4,5.9,3.8,4.1,https://www.pbs.gov.pk/wp-content/uploads/2020/07/indices.pdf
2018-03,2018,3,3.6,4,3,5.4,3.3,3.7,https://www.pbs.gov.pk/wp-content/uploads/2020/07/indices.pdf
2018-04,2018,4,4,4.4,3.3,6.3,3.7,4,https://www.pbs.gov.pk/wp-content/uploads/2020/07/indices.pdf
2018-05,2018,5,5,5.3,4.5,8.6,4.2,5.6,https://www.pbs.gov.pk/wp-content/uploads/2020/07/indices.pdf
2018-06,2018,6,5.7,5.8,5.4,11.4,5.2,7.6,https://www.pbs.gov.pk/wp-content/uploads/2020/07/indices.pdf
2018-07,2018,7,6.7,6.7,6.6,16.3,5.8,10.5,https://www.pbs.gov.pk/wp-content/uploads/2020/07/indices.pdf
2018-08,2018,8,6.2,6.2,6.2,16.7,5.8,11,https://www.pbs.gov.pk/wp-content/uploads/2020/07/indices.pdf
2018-09,2018,9,5.4,5.6,5.1,14.6,5.1,9.3,https://www.pbs.gov.pk/wp-content/uploads/2020/07/indices.pdf
2018-10,2018,10,6.5,7,5.7,18.6,6.8,13.1,https://www.pbs.gov.pk/wp-content/uploads/2020/07/indices.pdf
2018-11,2018,11,5.7,6.3,4.7,18.6,6.5,13.5,https://www.pbs.gov.pk/wp-content/uploads/2020/07/indices.pdf
2018-12,2018,12,5.4,5.9,4.6,16.5,6.2,12.1,https://www.pbs.gov.pk/wp-content/uploads/2020/07/indices.pdf
2019-01,2019,1,5.6,6.2,4.6,12.6,7.2,9.9,https://www.pbs.gov.pk/wp-content/uploads/2020/07/indices.pdf
2019-02,2019,2,6.8,7.2,6,13.9,8.2,11,https://www.pbs.gov.pk/wp-content/uploads/2020/07/indices.pdf
2019-03,2019,3,8.6,8.9,8.2,16.6,9.4,12.6,https://www.pbs.gov.pk/wp-content/uploads/2020/07/indices.pdf
2019-04,2019,4,8.3,8.4,8.1,17.1,8.8,13.8,https://www.pbs.gov.pk/wp-content/uploads/2020/07/indices.pdf
2019-05,2019,5,8.4,8.5,8.3,16.5,9.1,14,https://www.pbs.gov.pk/wp-content/uploads/2020/07/indices.pdf
2019-06,2019,6,8,8.1,7.9,14,8.9,12.7,https://www.pbs.gov.pk/wp-content/uploads/2020/07/indices.pdf
2019-07,2019,7,8.4,8.7,7.9,13.3,10.3,13.5,https://www.pbs.gov.pk/wp-content/uploads/2020/07/indices.pdf
2019-08,2019,8,10.5,10.6,10.3,14.1,11.6,13.6,https://www.pbs.gov.pk/wp-content/uploads/2020/07/indices.pdf
2019-09,2019,9,11.4,11.6,11.1,15.9,,,https://www.pbs.gov.pk/wp-content/uploads/2020/07/indices.pdf
2019-10,2019,10,11,10.9,11.3,13.3,,,https://www.pbs.gov.pk/wp-content/uploads/2020/07/indices.pdf
2019-11,2019,11,12.7,12.1,13.6,11.2,,,https://www.pbs.gov.pk/wp-content/uploads/2020/07/indices.pdf
