period,item_set,item_number,item_description,unit,city,average_price_pkr,availability_status,source_url
2026-06,spi_index_items,1,Wheat Flour Bag,20 Kg,Islamabad,2659.25,reported,https://www.pbs.gov.pk/wp-content/uploads/2020/07/SPI-Monthly-Prices-Annex-2-1.xlsx
2026-06,spi_index_items,1,Wheat Flour Bag,20 Kg,Rawalpindi,2642.69,reported,https://www.pbs.gov.pk/wp-content/uploads/2020/07/SPI-Monthly-Prices-Annex-2-1.xlsx
2026-06,spi_index_items,1,Wheat Flour Bag,20 Kg,Gujranwala,2310.79,reported,https://www.pbs.gov.pk/wp-content/uploads/2020/07/SPI-Monthly-Prices-Annex-2-1.xlsx
2026-06,spi_index_items,1,Wheat Flour Bag,20 Kg,Sialkot,2200,reported,https://www.pbs.gov.pk/wp-content/uploads/2020/07/SPI-Monthly-Prices-Annex-2-1.xlsx
2026-06,spi_index_items,1,Wheat Flour Bag,20 Kg,Lahore,2207.07,reported,https://www.pbs.gov.pk/wp-content/uploads/2020/07/SPI-Monthly-Prices-Annex-2-1.xlsx
2026-06,spi_index_items,1,Wheat Flour Bag,20 Kg,Faisalabad,2304.77,reported,https://www.pbs.gov.pk/wp-content/uploads/2020/07/SPI-Monthly-Prices-Annex-2-1.xlsx
2026-06,spi_index_items,1,Wheat Flour Bag,20 Kg,Sargodha,2200,reported,https://www.pbs.gov.pk/wp-content/uploads/2020/07/SPI-Monthly-Prices-Annex-2-1.xlsx
2026-06,spi_index_items,1,Wheat Flour Bag,20 Kg,Multan,2232.35,reported,https://www.pbs.gov.pk/wp-content/uploads/2020/07/SPI-Monthly-Prices-Annex-2-1.xlsx
2026-06,spi_index_items,1,Wheat Flour Bag,20 Kg,Bahawalpur,2233.25,reported,https://www.pbs.gov.pk/wp-content/uploads/2020/07/SPI-Monthly-Prices-Annex-2-1.xlsx
2026-06,spi_index_items,1,Wheat Flour Bag,20 Kg,Karachi,2588.97,reported,https://www.pbs.gov.pk/wp-content/uploads/2020/07/SPI-Monthly-Prices-Annex-2-1.xlsx
2026-06,spi_index_items,1,Wheat Flour Bag,20 Kg,Hyderabad,2596.64,reported,https://www.pbs.gov.pk/wp-content/uploads/2020/07/SPI-Monthly-Prices-Annex-2-1.xlsx
2026-06,spi_index_items,1,Wheat Flour Bag,20 Kg,Sukkur,2333.2,reported,https://www.pbs.gov.pk/wp-content/uploads/2020/07/SPI-Monthly-Prices-Annex-2-1.xlsx
2026-06,spi_index_items,1,Wheat Flour Bag,20 Kg,Larkana,2379.89,reported,https://www.pbs.gov.pk/wp-content/uploads/2020/07/SPI-Monthly-Prices-Annex-2-1.xlsx
2026-06,spi_index_items,1,Wheat Flour Bag,20 Kg,Peshawar,2639.87,reported,https://www.pbs.gov.pk/wp-content/uploads/2020/07/SPI-Monthly-Prices-Annex-2-1.xlsx
2026-06,spi_index_items,1,Wheat Flour Bag,20 Kg,Bannu,2649.79,reported,https://www.pbs.gov.pk/wp-content/uploads/2020/07/SPI-Monthly-Prices-Annex-2-1.xlsx
2026-06,spi_index_items,1,Wheat Flour Bag,20 Kg,Quetta,2706.55,reported,https://www.pbs.gov.pk/wp-content/uploads/2020/07/SPI-Monthly-Prices-Annex-2-1.xlsx
2026-06,spi_index_items,1,Wheat Flour Bag,20 Kg,Khuzdar,2432.88,reported,https://www.pbs.gov.pk/wp-content/uploads/2020/07/SPI-Monthly-Prices-Annex-2-1.xlsx
2026-06,spi_index_items,1,Wheat Flour Bag,20 Kg,Average Prices Jun 26 May 26 Jun 25,2423.3,reported,https://www.pbs.gov.pk/wp-content/uploads/2020/07/SPI-Monthly-Prices-Annex-2-1.xlsx
2026-06,spi_index_items,1,Wheat Flour Bag,20 Kg,%change Jun 26 over May 26 Jun 25,3.141971841,reported,https://www.pbs.gov.pk/wp-content/uploads/2020/07/SPI-Monthly-Prices-Annex-2-1.xlsx
2026-06,spi_index_items,2,Rice Basmati Broken (Average Quality),1 Kg,Islamabad,274.83,reported,https://www.pbs.gov.pk/wp-content/uploads/2020/07/SPI-Monthly-Prices-Annex-2-1.xlsx
