period,year,month,national_cpi_index_2015_16,urban_cpi_index_2015_16,rural_cpi_index_2015_16,wpi_index_2015_16,cpi_index_2007_08_published,wpi_index_2007_08_published,source_url
2017-07,2017,7,107.1,107.7,106.3,105.3,216.2,217.2,https://www.pbs.gov.pk/wp-content/uploads/2020/07/indices.pdf
2017-08,2017,8,107.3,107.9,106.4,105.5,216.6,218,https://www.pbs.gov.pk/wp-content/uploads/2020/07/indices.pdf
2017-09,2017,9,108,108.4,107.5,105.7,218,218.1,https://www.pbs.gov.pk/wp-content/uploads/2020/07/indices.pdf
2017-10,2017,10,109.2,109.3,109.1,106.7,219.6,219.4,https://www.pbs.gov.pk/wp-content/uploads/2020/07/indices.pdf
2017-11,2017,11,110,110,109.8,107.8,220.4,220.2,https://www.pbs.gov.pk/wp-content/uploads/2020/07/indices.pdf
2017-12,2017,12,109.9,110.1,109.7,108.3,220.2,221,https://www.pbs.gov.pk/wp-content/uploads/2020/07/indices.pdf
2018-01,2018,1,110,110.3,109.6,111.1,220.3,225,https://www.pbs.gov.pk/wp-content/uploads/2020/07/indices.pdf
2018-02,2018,2,109.7,110.1,109.1,111.6,219.6,224.7,https://www.pbs.gov.pk/wp-content/uploads/2020/07/indices.pdf
2018-03,2018,3,110,110.4,109.3,111.5,220.3,225.2,https://www.pbs.gov.pk/wp-content/uploads/2020/07/indices.pdf
2018-04,2018,4,111.1,111.9,110,112.9,224.3,228.1,https://www.pbs.gov.pk/wp-content/uploads/2020/07/indices.pdf
2018-05,2018,5,111.7,112.5,110.3,115.2,225.4,231,https://www.pbs.gov.pk/wp-content/uploads/2020/07/indices.pdf
2018-06,2018,6,112.6,113.3,111.4,118.1,226.7,234.4,https://www.pbs.gov.pk/wp-content/uploads/2020/07/indices.pdf
2018-07,2018,7,114.3,114.9,113.3,122.4,228.8,240,https://www.pbs.gov.pk/wp-content/uploads/2020/07/indices.pdf
2018-08,2018,8,113.9,114.6,113,123.1,229.3,241.9,https://www.pbs.gov.pk/wp-content/uploads/2020/07/indices.pdf
2018-09,2018,9,113.9,114.5,113,121.2,229.1,238.3,https://www.pbs.gov.pk/wp-content/uploads/2020/07/indices.pdf
2018-10,2018,10,116.3,117,115.2,126.6,234.5,248.2,https://www.pbs.gov.pk/wp-content/uploads/2020/07/indices.pdf
2018-11,2018,11,116.2,116.9,115,127.9,234.8,249.9,https://www.pbs.gov.pk/wp-content/uploads/2020/07/indices.pdf
2018-12,2018,12,115.8,116.6,114.7,126.2,233.8,247.7,https://www.pbs.gov.pk/wp-content/uploads/2020/07/indices.pdf
2019-01,2019,1,116.1,117.1,114.7,125.1,236.1,247.2,https://www.pbs.gov.pk/wp-content/uploads/2020/07/indices.pdf
2019-02,2019,2,117.1,118.1,115.7,127.2,237.6,249.4,https://www.pbs.gov.pk/wp-content/uploads/2020/07/indices.pdf
2019-03,2019,3,119.5,120.3,118.2,130,241,253.7,https://www.pbs.gov.pk/wp-content/uploads/2020/07/indices.pdf
2019-04,2019,4,120.3,121.3,118.9,132.3,244,259.6,https://www.pbs.gov.pk/wp-content/uploads/2020/07/indices.pdf
2019-05,2019,5,121,122.1,119.5,134.2,245.9,263.3,https://www.pbs.gov.pk/wp-content/uploads/2020/07/indices.pdf
2019-06,2019,6,121.6,122.5,120.3,134.6,246.8,264.2,https://www.pbs.gov.pk/wp-content/uploads/2020/07/indices.pdf
2019-07,2019,7,123.9,125,122.2,138.7,252.5,272.3,https://www.pbs.gov.pk/wp-content/uploads/2020/07/indices.pdf
2019-08,2019,8,125.9,126.8,124.6,140.4,255.9,274.7,https://www.pbs.gov.pk/wp-content/uploads/2020/07/indices.pdf
2019-09,2019,9,126.9,127.7,125.6,140.5,,,https://www.pbs.gov.pk/wp-content/uploads/2020/07/indices.pdf
2019-10,2019,10,129.2,129.8,128.3,143.3,,,https://www.pbs.gov.pk/wp-content/uploads/2020/07/indices.pdf
2019-11,2019,11,130.9,131.1,130.7,142.2,,,https://www.pbs.gov.pk/wp-content/uploads/2020/07/indices.pdf
2019-12,2019,12,130.5,130.6,130.3,141.8,,,https://www.pbs.gov.pk/wp-content/uploads/2020/07/indices.pdf
2020-01,2020,1,133,132.8,133.4,144.3,,,https://www.pbs.gov.pk/wp-content/uploads/2020/07/indices.pdf
2020-02,2020,2,131.6,131.3,132.1,143.3,,,https://www.pbs.gov.pk/wp-content/uploads/2020/07/indices.pdf
2020-03,2020,3,131.7,131.5,132,142,,,https://www.pbs.gov.pk/wp-content/uploads/2020/07/indices.pdf
2020-04,2020,4,130.6,130.6,130.6,139.1,,,https://www.pbs.gov.pk/wp-content/uploads/2020/07/indices.pdf
2020-05,2020,5,131,131,131,136.2,,,https://www.pbs.gov.pk/wp-content/uploads/2020/07/indices.pdf
2020-06,2020,6,132.1,131.9,132.4,135.8,,,https://www.pbs.gov.pk/wp-content/uploads/2020/07/indices.pdf
2020-07,2020,7,135.4,134.7,136.4,143.1,,,https://www.pbs.gov.pk/wp-content/uploads/2020/07/indices.pdf
2020-08,2020,8,136.2,135.8,136.8,145,,,https://www.pbs.gov.pk/wp-content/uploads/2020/07/indices.pdf
2020-09,2020,9,138.3,137.5,139.5,146.5,,,https://www.pbs.gov.pk/wp-content/uploads/2020/07/indices.pdf
2020-10,2020,10,140.7,139.3,142.8,150.7,,,https://www.pbs.gov.pk/wp-content/uploads/2020/07/indices.pdf
