period,label,review_url,annex_url,urban_construction_url,rural_construction_url,parsed_monthly_price_rows,parse_error
2026-06,June 2026,https://www.pbs.gov.pk/wp-content/uploads/2020/07/Monthly-Review-June-2026.pdf,https://www.pbs.gov.pk/wp-content/uploads/2020/07/SPI-Monthly-Prices-Annex-2-1.xlsx,https://www.pbs.gov.pk/wp-content/uploads/2020/07/Urbn-Construction-2-1.xlsx,https://www.pbs.gov.pk/wp-content/uploads/2020/07/Rural-Construction-2-1.xlsx,1239,
2026-05,May 2026,https://www.pbs.gov.pk/wp-content/uploads/2020/07/Monthly-Review-May-2026.pdf,https://www.pbs.gov.pk/wp-content/uploads/2020/07/13.-SPI-Monthly-Prices-Annex-1.xlsx,https://www.pbs.gov.pk/wp-content/uploads/2020/07/Urbn-Construction-7.xlsx,https://www.pbs.gov.pk/wp-content/uploads/2020/07/Rural-Construction-8.xlsx,1239,
2026-04,April 2026,https://www.pbs.gov.pk/wp-content/uploads/2020/07/Monthly-Review-April-2026.pdf,https://www.pbs.gov.pk/wp-content/uploads/2020/07/SPI-Monthly-Prices-Annex-1-2.xlsx,https://www.pbs.gov.pk/wp-content/uploads/2020/07/Urbn-Construction-1-2.xlsx,https://www.pbs.gov.pk/wp-content/uploads/2020/07/Rural-Construction-1-2.xlsx,1239,
2026-03,March 2026,https://www.pbs.gov.pk/wp-content/uploads/2020/07/Monthly-Review-March-2026.pdf,https://www.pbs.gov.pk/wp-content/uploads/2020/07/SPI-Monthly-Prices-Annex-4.xlsx,https://www.pbs.gov.pk/wp-content/uploads/2020/07/Urbn-Construction-5.xlsx,https://www.pbs.gov.pk/wp-content/uploads/2020/07/Rural-Construction-6.xlsx,969,
2026-02,Feb 2026,https://www.pbs.gov.pk/wp-content/uploads/2020/07/Monthly-Review-February-2026-1.pdf,https://www.pbs.gov.pk/wp-content/uploads/2020/07/SPI-Monthly-Prices-Annex-5.xlsx,https://www.pbs.gov.pk/wp-content/uploads/2020/07/Urbn-Construction-6.xlsx,https://www.pbs.gov.pk/wp-content/uploads/2020/07/Rural-Construction-7.xlsx,1239,
2026-01,Jan 2026,https://www.pbs.gov.pk/wp-content/uploads/2020/07/Monthly-Review-January-2026-1.pdf,https://www.pbs.gov.pk/wp-content/uploads/2020/07/SPI-Monthly-Prices-Annex-2.xlsx,https://www.pbs.gov.pk/wp-content/uploads/2020/07/Urbn-Construction-1-1.xlsx,https://www.pbs.gov.pk/wp-content/uploads/2020/07/Rural-Construction-1-1.xlsx,1239,
2025-12,December 2025,https://www.pbs.gov.pk/wp-content/uploads/2020/07/Monthly-Review-December-2025.docx,https://www.pbs.gov.pk/wp-content/uploads/2020/07/SPI-Monthly-Prices-Annex.xlsx,https://www.pbs.gov.pk/wp-content/uploads/2020/07/Urbn-Construction-2.xlsx,https://www.pbs.gov.pk/wp-content/uploads/2020/07/Rural-Construction-3.xlsx,1239,
2025-11,November 2025,https://www.pbs.gov.pk/wp-content/uploads/2020/07/Monthly-Review-November-2025.docx,https://www.pbs.gov.pk/wp-content/uploads/2020/07/SPI-Monthly-Prices-1.xlsx,https://www.pbs.gov.pk/wp-content/uploads/2020/07/Urbn-Construction-1.xlsx,https://www.pbs.gov.pk/wp-content/uploads/2020/07/Rural-Construction-2.xlsx,969,
2025-10,October 2025,https://www.pbs.gov.pk/wp-content/uploads/2020/07/Monthly-Review-October-2025.docx,https://www.pbs.gov.pk/wp-content/uploads/2020/07/SPI-Monthly-Prices.xlsx,https://www.pbs.gov.pk/wp-content/uploads/2020/07/Urbn-Construction.xlsx,https://www.pbs.gov.pk/wp-content/uploads/2020/07/Rural-Construction-1.xlsx,1239,
2025-09,September 2025,https://www.pbs.gov.pk/wp-content/uploads/2020/07/1.-Monthly-Review-September-2025-Revised.docx,https://www.pbs.gov.pk/wp-content/uploads/2020/07/SPI_Monthly_Prices_Annex_Sep_2025-1.xlsx,https://www.pbs.gov.pk/wp-content/uploads/2020/07/Urbn_Construction_Items_Prices_September_2025-1.xlsx,https://www.pbs.gov.pk/wp-content/uploads/2020/07/Rural_Construction_Items_Prices_September_2025-1.xlsx,1239,
2025-08,Aug 2025,https://www.pbs.gov.pk/wp-content/uploads/2020/07/Revised-Monthly-Review-August-2025.docx,https://www.pbs.gov.pk/wp-content/uploads/2020/07/SPI-Monthly-Prices-Annex_2.xlsx,https://www.pbs.gov.pk/wp-content/uploads/2020/07/Urban-Construction.xlsx,https://www.pbs.gov.pk/wp-content/uploads/2020/07/Rural-Construction.xlsx,270,
2025-07,July 2025,https://www.pbs.gov.pk/wp-content/uploads/2020/07/Monthly-Review-July-2025.pdf,https://www.pbs.gov.pk/wp-content/uploads/2020/07/13.-SPI-Monthly-Prices-Annex.xlsx,,,1239,
2025-06,June 2025,https://www.pbs.gov.pk/wp-content/uploads/2020/07/Monthly-Review-June-2025.pdf,https://www.pbs.gov.pk/wp-content/uploads/2020/07/4.-Annex-03-07-2025.pdf,,,0,
2025-05,May 2025,https://www.pbs.gov.pk/wp-content/uploads/2020/07/Monthly-Review-May-2025.pdf,https://www.pbs.gov.pk/wp-content/uploads/2020/07/SPI-Monthly-Prices-Annex_2.pdf,,,0,
2025-04,April 2025,https://www.pbs.gov.pk/wp-content/uploads/2020/07/Monthly-Review-April-2025.pdf,https://www.pbs.gov.pk/wp-content/uploads/2020/07/SPI-Monthly-Prices-Annex_1.pdf,,,0,
2025-03,March 2025,https://www.pbs.gov.pk/wp-content/uploads/2020/07/Monthly_Review_March_2025.pdf,https://www.pbs.gov.pk/wp-content/uploads/2020/07/SPI_Monthly_Prices_Annex_March_2025.pdf,,,0,
2025-02,February 2025,https://www.pbs.gov.pk/wp-content/uploads/2020/07/Monthly_Review_February_2025.pdf,https://www.pbs.gov.pk/wp-content/uploads/2020/07/SPI_Monthly_Prices_Annex_Feb_2025.pdf,,,0,
2025-01,January 2025,https://www.pbs.gov.pk/wp-content/uploads/2020/07/Monthly-Review-January-2025.pdf,https://www.pbs.gov.pk/wp-content/uploads/2020/07/SPI-Monthly-Prices-Annex.pdf,,,0,
2024-12,December 2024,https://www.pbs.gov.pk/wp-content/uploads/2020/07/Monthly_Review_December_2024.pdf,https://www.pbs.gov.pk/wp-content/uploads/2020/07/SPI_Monthly_Prices_Annex_December_2024.pdf,,,0,
2024-11,November 2024,https://www.pbs.gov.pk/wp-content/uploads/2020/07/Monthly_Review_November_2024.pdf,https://www.pbs.gov.pk/wp-content/uploads/2020/07/SPI_Monthly_Prices_Annex_November_2024.pdf,,,0,
2024-10,October 2024,https://www.pbs.gov.pk/wp-content/uploads/2020/07/Monthly_Review_October_2024.pdf,https://www.pbs.gov.pk/wp-content/uploads/2020/07/SPI_Monthly_Prices_Annex_October_2024.pdf,,,0,
2024-09,September 2024,https://www.pbs.gov.pk/wp-content/uploads/2020/07/CPI_Monthly_Review_September_2024.pdf,https://www.pbs.gov.pk/wp-content/uploads/2020/07/CPI_Annex_Sep_2024.pdf,,,0,
2024-08,August 2024,https://www.pbs.gov.pk/wp-content/uploads/2020/07/CPI_Review_August_2024.pdf,https://www.pbs.gov.pk/wp-content/uploads/2020/07/CPI_Annex_August_2024.pdf,,,0,
2024-07,July 2024,https://www.pbs.gov.pk/wp-content/uploads/2020/07/CPI_Review_July_2024-1.pdf,https://www.pbs.gov.pk/wp-content/uploads/2020/07/CPI_Annex_July_2024-1.pdf,,,0,
2024-06,June 2024,https://www.pbs.gov.pk/wp-content/uploads/2020/07/CPI_Review_June_2024.pdf,https://www.pbs.gov.pk/wp-content/uploads/2020/07/CPI_Annex_June_2024.pdf,,,0,
2024-05,May 2024,https://www.pbs.gov.pk/wp-content/uploads/2020/07/Monthly-Review-May-2024.pdf,https://www.pbs.gov.pk/wp-content/uploads/2020/07/13.-SPI-Monthly-Prices-Annex.pdf,,,0,
2024-04,April 2024,https://www.pbs.gov.pk/wp-content/uploads/2020/07/CPI_Monthly_Review_April_2024.pdf,https://www.pbs.gov.pk/wp-content/uploads/2020/07/CPI_Monthly_Prices_Annex_April_2024.pdf,,,0,
2024-03,March 2024,https://www.pbs.gov.pk/wp-content/uploads/2020/07/CPI_Monthly_Review_March_2024.pdf,https://www.pbs.gov.pk/wp-content/uploads/2020/07/CPI_Monthly_Prices_Annex_0.pdf,,,0,
2024-02,February 2024,https://www.pbs.gov.pk/wp-content/uploads/2020/07/CPI_Monthly_Review_Febuary_2024.pdf,https://www.pbs.gov.pk/wp-content/uploads/2020/07/CPI_Monthly_Prices_Annex_0.pdf,,,0,
2024-01,January 2024,https://www.pbs.gov.pk/wp-content/uploads/2020/07/CPI_Review_January_2024.pdf,https://www.pbs.gov.pk/wp-content/uploads/2020/07/CPI_Annex_January_2024.pdf,,,0,
2023-12,December 2023,https://www.pbs.gov.pk/wp-content/uploads/2020/07/CPI_Review_December_2023.pdf,https://www.pbs.gov.pk/wp-content/uploads/2020/07/CPI_Annex_December_2023.pdf,,,0,
2023-11,November 2023,https://www.pbs.gov.pk/wp-content/uploads/2020/07/CPI_Review_November_2023-1.pdf,https://www.pbs.gov.pk/wp-content/uploads/2020/07/CPI_Annex_November_2023.pdf,,,0,
2023-10,October 2023,https://www.pbs.gov.pk/wp-content/uploads/2020/07/Monthly_Review_October_2023.pdf,https://www.pbs.gov.pk/wp-content/uploads/2020/07/SPI_Monthly_Prices_Annex_October_2023.pdf,,,0,
2023-09,September 2023,https://www.pbs.gov.pk/wp-content/uploads/2020/07/Monthly_Review_September_2023.pdf,https://www.pbs.gov.pk/wp-content/uploads/2020/07/SPI_Monthly_Prices_Annex_September_2023.pdf,,,0,
2023-08,August 2023,https://www.pbs.gov.pk/wp-content/uploads/2020/07/Monthly_Review_August_2023.pdf,https://www.pbs.gov.pk/wp-content/uploads/2020/07/SPI_Monthly_Prices_Annex_August_2023.pdf,,,0,
2023-07,July 2023,https://www.pbs.gov.pk/wp-content/uploads/2020/07/Monthly_Review_July_2023.pdf,https://www.pbs.gov.pk/wp-content/uploads/2020/07/SPI_Monthly_Prices_Annex_July_2023.pdf,,,0,
2023-06,June 2023,https://www.pbs.gov.pk/wp-content/uploads/2020/07/CPI_Review_June_2023.pdf,https://www.pbs.gov.pk/wp-content/uploads/2020/07/CPI_Annex_June_2023.pdf,,,0,
2023-05,May 2023,https://www.pbs.gov.pk/wp-content/uploads/2020/07/CPI_Review_May_2023.pdf,https://www.pbs.gov.pk/wp-content/uploads/2020/07/CPI_Annex_May_2023.pdf,,,0,
2023-04,April 2023,https://www.pbs.gov.pk/wp-content/uploads/2020/07/CPI_Review_April_2023.pdf,https://www.pbs.gov.pk/wp-content/uploads/2020/07/CPI_Annex_April_2023.pdf,,,0,
