period,annex_pdf_url,report_pdf_url,annex_excel_url,report_excel_url,parsed_city_item_price_rows,parsed_summary_rows,parsed_item_change_rows,parse_error
2026-07-02,https://www.pbs.gov.pk/wp-content/uploads/2020/07/Annex_02.07.2026.pdf,https://www.pbs.gov.pk/wp-content/uploads/2020/07/Executive-SummarySPI-Report_02.07.2026.pdf,https://www.pbs.gov.pk/wp-content/uploads/2020/07/Annex_02.07.2026.xlsx,https://www.pbs.gov.pk/wp-content/uploads/2020/07/3.-SPI-Report-02.07.2026.xlsx,2601,6,51,
2026-06-18,https://www.pbs.gov.pk/wp-content/uploads/2020/07/Annex_18.06.2026.pdf,https://www.pbs.gov.pk/wp-content/uploads/2020/07/Executive-Summary-SPI-Report_18.06.2026.pdf,https://www.pbs.gov.pk/wp-content/uploads/2020/07/Annex_18.06.2026.xlsx,https://www.pbs.gov.pk/wp-content/uploads/2020/07/3.-SPI-Report-18.06.2026.xlsx,2601,6,51,
2026-06-11,https://www.pbs.gov.pk/wp-content/uploads/2020/07/Annex_11.06.2026.pdf,https://www.pbs.gov.pk/wp-content/uploads/2020/07/Executive-Summary-SPI-Report_11.06.2026.pdf,https://www.pbs.gov.pk/wp-content/uploads/2020/07/Annex_11.06.2026.xlsx,https://www.pbs.gov.pk/wp-content/uploads/2020/07/3.-SPI-Report-11.06.2026.xlsx,2601,6,51,
2026-06-04,https://www.pbs.gov.pk/wp-content/uploads/2020/07/Annex_04.06.2026.pdf,https://www.pbs.gov.pk/wp-content/uploads/2020/07/Executive-Summary-SPI-Report_04.06.2026.pdf,https://www.pbs.gov.pk/wp-content/uploads/2020/07/Annex_04.06.2026.xlsx,https://www.pbs.gov.pk/wp-content/uploads/2020/07/3.-SPI-Report-04.06.2026.xlsx,2601,6,51,
2026-05-21,https://www.pbs.gov.pk/wp-content/uploads/2020/07/Annex_21.05.2026.pdf,https://www.pbs.gov.pk/wp-content/uploads/2020/07/Executive-Summary-SPI-Report_21.05.2026.pdf,https://www.pbs.gov.pk/wp-content/uploads/2020/07/Annex_21.05.2026.xlsx,https://www.pbs.gov.pk/wp-content/uploads/2020/07/3.-SPI-Report-21.05.2026.xlsx,2601,6,51,
2026-05-14,https://www.pbs.gov.pk/wp-content/uploads/2020/07/Annex_14.05.2026.pdf,https://www.pbs.gov.pk/wp-content/uploads/2020/07/Eexecutive-Summary-SPI-Report_14.05.2026.pdf,https://www.pbs.gov.pk/wp-content/uploads/2020/07/Annex_14.05.2026.xlsx,https://www.pbs.gov.pk/wp-content/uploads/2020/07/3.-SPI-Report-14.05.2026.xlsx,2601,6,51,
2026-05-07,https://www.pbs.gov.pk/wp-content/uploads/2020/07/Annex_07.05.2026.pdf,https://www.pbs.gov.pk/wp-content/uploads/2020/07/Executive-Summary-SPI-Report_07.05.2026.pdf,https://www.pbs.gov.pk/wp-content/uploads/2020/07/Annex_07.05.2026.xlsx,https://www.pbs.gov.pk/wp-content/uploads/2020/07/3.-SPI-Report-07.05.2026.xlsx,2601,6,51,
2026-04-30,https://www.pbs.gov.pk/wp-content/uploads/2020/07/Annex_30.04.2026.pdf,https://www.pbs.gov.pk/wp-content/uploads/2020/07/Executive-Summary-SPI-Report_30.04.2026.pdf,https://www.pbs.gov.pk/wp-content/uploads/2020/07/Annex_30.04.2026.xlsx,https://www.pbs.gov.pk/wp-content/uploads/2020/07/3.-SPI-Report-30.04.2026.xlsx,2601,6,51,
2026-04-23,https://www.pbs.gov.pk/wp-content/uploads/2020/07/Annex_23.04.2026.pdf,https://www.pbs.gov.pk/wp-content/uploads/2020/07/Executive-Summary-SPI-Report_23.04.2026.pdf,https://www.pbs.gov.pk/wp-content/uploads/2020/07/Annex_23.04.2026.xlsx,https://www.pbs.gov.pk/wp-content/uploads/2020/07/3.-SPI-Report-23.04.2026.xlsx,2601,6,51,
2026-04-16,https://www.pbs.gov.pk/wp-content/uploads/2020/07/Annex_16.04.2026.pdf,https://www.pbs.gov.pk/wp-content/uploads/2020/07/Executive-Summary-SPI-Report_16.04.2026.pdf,https://www.pbs.gov.pk/wp-content/uploads/2020/07/Annex_16.04.2026.xlsx,https://www.pbs.gov.pk/wp-content/uploads/2020/07/3.-SPI-Report-16.04.2026.xlsx,2601,6,51,
