week_end_date,change_category,rank_in_category,item_description,unit,price_current_pkr,price_previous_week_pkr,price_year_ago_pkr,wow_change_pct,yoy_change_pct,weight_lowest_group_pct,weight_combined_pct,impact_lowest_group_pct_points,impact_combined_pct_points,source_url
2026-07-02,increase,1,Tomatoes,1 Kg,265.93,117.98,78.51,125.4,238.72,1.4395,0.9816,1.347232968,0.871593547,https://www.pbs.gov.pk/wp-content/uploads/2020/07/3.-SPI-Report-02.07.2026.xlsx
2026-07-02,increase,2,Onions,1 Kg,96.67,87.31,53.42,10.72,80.96,2.6815,1.6822,0.2416811082,0.1438400485,https://www.pbs.gov.pk/wp-content/uploads/2020/07/3.-SPI-Report-02.07.2026.xlsx
2026-07-02,increase,3,Potatoes,1 Kg,52.07,47.31,82.13,10.06,-36.6,2.2955,1.2157,0.1282209171,0.0644289374,https://www.pbs.gov.pk/wp-content/uploads/2020/07/3.-SPI-Report-02.07.2026.xlsx
2026-07-02,increase,4,Eggs Hen (Farm),1 Dozen,232.87,214.99,256.76,8.32,-9.3,1.178,1.4424,0.07194749071,0.08360388363,https://www.pbs.gov.pk/wp-content/uploads/2020/07/3.-SPI-Report-02.07.2026.xlsx
2026-07-02,increase,5,Wheat Flour Bag,20 Kg,2535.65,2413.07,1505.1,5.08,68.47,6.1372,3.9725,0.248604802,0.1526728226,https://www.pbs.gov.pk/wp-content/uploads/2020/07/3.-SPI-Report-02.07.2026.xlsx
2026-07-02,increase,6,Match Box,Each,6.31,6.25,6.24,0.96,1.12,0.3495,0.1969,0.001090113496,0.0005590363332,https://www.pbs.gov.pk/wp-content/uploads/2020/07/3.-SPI-Report-02.07.2026.xlsx
2026-07-02,increase,7,Shirting (Average Quality),1 mtr,544.27,539.57,498.82,0.87,9.11,0.0317,0.101,0.0002062376883,0.0006428917831,https://www.pbs.gov.pk/wp-content/uploads/2020/07/3.-SPI-Report-02.07.2026.xlsx
2026-07-02,increase,8,Sufi Washing Soap 250 gm Cake,Each,140.98,140.1,132,0.63,6.8,1.1178,0.5917,0.004507766617,0.002264097149,https://www.pbs.gov.pk/wp-content/uploads/2020/07/3.-SPI-Report-02.07.2026.xlsx
2026-07-02,increase,9,Milk fresh (Un-boiled),1 Ltr,216.2,215.14,200.57,0.49,7.79,17.5449,18.3937,0.02607433631,0.02591133404,https://www.pbs.gov.pk/wp-content/uploads/2020/07/3.-SPI-Report-02.07.2026.xlsx
2026-07-02,increase,10,Bread plain (Small Size),Each,118.82,118.27,108.83,0.47,9.18,0.1041,0.5698,0.0001178501076,0.0006149399665,https://www.pbs.gov.pk/wp-content/uploads/2020/07/3.-SPI-Report-02.07.2026.xlsx
2026-07-02,increase,11,Rice IRRI-6/9 (Sindh/Punjab),1 Kg,154.7,154.01,154.27,0.45,0.28,0.5922,0.1671,0.002121301937,0.0005590363332,https://www.pbs.gov.pk/wp-content/uploads/2020/07/3.-SPI-Report-02.07.2026.xlsx
2026-07-02,increase,12,Curd (Dahi) Loose,1 Kg,252.05,251,233.92,0.42,7.75,0.7366,1.8181,0.001119576022,0.002599518949,https://www.pbs.gov.pk/wp-content/uploads/2020/07/3.-SPI-Report-02.07.2026.xlsx
2026-07-02,increase,13,Vegetable Ghee DALDA/HABIB or Other superior Quality 1 kg Pouch,Each,603.9,602.43,567.89,0.24,6.34,3.2833,1.4648,0.00780756963,0.003326266182,https://www.pbs.gov.pk/wp-content/uploads/2020/07/3.-SPI-Report-02.07.2026.xlsx
2026-07-02,increase,14,Cigarettes Capstan 20'S Packet,Each,252.06,251.48,240.59,0.23,4.77,1.617,1.0931,0.001296351184,0.0008385544998,https://www.pbs.gov.pk/wp-content/uploads/2020/07/3.-SPI-Report-02.07.2026.xlsx
2026-07-02,increase,15,"Cooking Oil DALDA or Other Similar Brand (SN), 5 Litre Tin",Each,3059.29,3052.38,2884.66,0.23,6.05,2.148,3.126,0.004448841563,0.006177351482,https://www.pbs.gov.pk/wp-content/uploads/2020/07/3.-SPI-Report-02.07.2026.xlsx
2026-07-02,increase,16,Rice Basmati Broken (Average Quality),1 Kg,216.85,216.38,204.81,0.22,5.88,2.961,1.2636,0.005509492532,0.002236145333,https://www.pbs.gov.pk/wp-content/uploads/2020/07/3.-SPI-Report-02.07.2026.xlsx
2026-07-02,increase,17,Powdered Milk NIDO 390 gm Polybag,Each,1153.88,1151.97,1076.67,0.17,7.17,0.0803,0.3817,5.892505381e-05,0.0002515663499,https://www.pbs.gov.pk/wp-content/uploads/2020/07/3.-SPI-Report-02.07.2026.xlsx
2026-07-02,increase,18,Gur (Average Quality),1 Kg,226.94,226.62,234.6,0.14,-3.27,0.2341,0.1075,0,0,https://www.pbs.gov.pk/wp-content/uploads/2020/07/3.-SPI-Report-02.07.2026.xlsx
2026-07-02,increase,19,Vegetable Ghee DALDA/HABIB 2.5 kg Tin,Each,1545.76,1544.29,1461.99,0.1,5.73,3.2833,1.4648,0.004242603875,0.001788916266,https://www.pbs.gov.pk/wp-content/uploads/2020/07/3.-SPI-Report-02.07.2026.xlsx
