week_end_date,expenditure_group,spi_current,spi_previous_week,spi_year_ago,wow_change_pct,yoy_change_pct,source_url
2026-07-02,"Q1 (Upto Rs. 17,732)",344.22,339.41,301.6,1.417165081,14.13129973,https://www.pbs.gov.pk/wp-content/uploads/2020/07/3.-SPI-Report-02.07.2026.xlsx
2026-07-02,"Q2 (Rs. 17,733 - 22,888)",345.57,342.63,297.63,0.8580684704,16.10724725,https://www.pbs.gov.pk/wp-content/uploads/2020/07/3.-SPI-Report-02.07.2026.xlsx
2026-07-02,"Q3 (Rs. 22,889 - 29,517)",365.88,364.87,321.87,0.276810919,13.67322211,https://www.pbs.gov.pk/wp-content/uploads/2020/07/3.-SPI-Report-02.07.2026.xlsx
2026-07-02,"Q4 (Rs. 29,518 - 44,175)",352.29,353.42,312.4,-0.3197328957,12.76888604,https://www.pbs.gov.pk/wp-content/uploads/2020/07/3.-SPI-Report-02.07.2026.xlsx
2026-07-02,"Q5 (Above Rs. 44,175)",351.82,359.01,315.02,-2.002729729,11.68179798,https://www.pbs.gov.pk/wp-content/uploads/2020/07/3.-SPI-Report-02.07.2026.xlsx
2026-07-02,Combined,354.24,357.76,312.06,-0.9838998211,13.51663142,https://www.pbs.gov.pk/wp-content/uploads/2020/07/3.-SPI-Report-02.07.2026.xlsx
2026-06-18,"Q1 (Upto Rs. 17,732)",339.41,337.25,299.58,0.6404744255,13.29528006,https://www.pbs.gov.pk/wp-content/uploads/2020/07/3.-SPI-Report-18.06.2026.xlsx
2026-06-18,"Q2 (Rs. 17,733 - 22,888)",342.63,340.54,295.36,0.6137311329,16.00419827,https://www.pbs.gov.pk/wp-content/uploads/2020/07/3.-SPI-Report-18.06.2026.xlsx
2026-06-18,"Q3 (Rs. 22,889 - 29,517)",364.87,362.94,320.05,0.5317683364,14.00406187,https://www.pbs.gov.pk/wp-content/uploads/2020/07/3.-SPI-Report-18.06.2026.xlsx
2026-06-18,"Q4 (Rs. 29,518 - 44,175)",353.42,351.61,310.88,0.5147748926,13.68373649,https://www.pbs.gov.pk/wp-content/uploads/2020/07/3.-SPI-Report-18.06.2026.xlsx
2026-06-18,"Q5 (Above Rs. 44,175)",359.01,357.6,313.6,0.394295302,14.48022959,https://www.pbs.gov.pk/wp-content/uploads/2020/07/3.-SPI-Report-18.06.2026.xlsx
2026-06-18,Combined,357.76,356.11,310.35,0.4633399792,15.27630095,https://www.pbs.gov.pk/wp-content/uploads/2020/07/3.-SPI-Report-18.06.2026.xlsx
2026-06-11,"Q1 (Upto Rs. 17,732)",337.25,336.62,299.44,0.1871546551,12.62690355,https://www.pbs.gov.pk/wp-content/uploads/2020/07/3.-SPI-Report-11.06.2026.xlsx
2026-06-11,"Q2 (Rs. 17,733 - 22,888)",340.54,340.12,295.2,0.1234858285,15.35907859,https://www.pbs.gov.pk/wp-content/uploads/2020/07/3.-SPI-Report-11.06.2026.xlsx
2026-06-11,"Q3 (Rs. 22,889 - 29,517)",362.94,362.54,319.72,0.1103326529,13.51807832,https://www.pbs.gov.pk/wp-content/uploads/2020/07/3.-SPI-Report-11.06.2026.xlsx
2026-06-11,"Q4 (Rs. 29,518 - 44,175)",351.61,351.34,310.47,0.07684863665,13.2508777,https://www.pbs.gov.pk/wp-content/uploads/2020/07/3.-SPI-Report-11.06.2026.xlsx
2026-06-11,"Q5 (Above Rs. 44,175)",357.6,356.88,312.29,0.2017484869,14.50895001,https://www.pbs.gov.pk/wp-content/uploads/2020/07/3.-SPI-Report-11.06.2026.xlsx
2026-06-11,Combined,356.11,355.55,309.51,0.157502461,15.05605635,https://www.pbs.gov.pk/wp-content/uploads/2020/07/3.-SPI-Report-11.06.2026.xlsx
2026-06-04,"Q1 (Upto Rs. 17,732)",336.62,335.56,298.99,0.3158898558,12.58570521,https://www.pbs.gov.pk/wp-content/uploads/2020/07/3.-SPI-Report-04.06.2026.xlsx
2026-06-04,"Q2 (Rs. 17,733 - 22,888)",340.12,339.97,295.08,0.04412154014,15.26365731,https://www.pbs.gov.pk/wp-content/uploads/2020/07/3.-SPI-Report-04.06.2026.xlsx
2026-06-04,"Q3 (Rs. 22,889 - 29,517)",362.54,363.04,319.83,-0.1377258704,13.3539693,https://www.pbs.gov.pk/wp-content/uploads/2020/07/3.-SPI-Report-04.06.2026.xlsx
2026-06-04,"Q4 (Rs. 29,518 - 44,175)",351.34,352.67,310.78,-0.3771230896,13.05103288,https://www.pbs.gov.pk/wp-content/uploads/2020/07/3.-SPI-Report-04.06.2026.xlsx
2026-06-04,"Q5 (Above Rs. 44,175)",356.88,360.04,312.84,-0.8776802577,14.0774837,https://www.pbs.gov.pk/wp-content/uploads/2020/07/3.-SPI-Report-04.06.2026.xlsx
2026-06-04,Combined,355.55,357.54,309.85,-0.5565810818,14.74907213,https://www.pbs.gov.pk/wp-content/uploads/2020/07/3.-SPI-Report-04.06.2026.xlsx
2026-05-21,"Q1 (Upto Rs. 17,732)",335.56,335.77,300.18,-0.06254281204,11.78626158,https://www.pbs.gov.pk/wp-content/uploads/2020/07/3.-SPI-Report-21.05.2026.xlsx
2026-05-21,"Q2 (Rs. 17,733 - 22,888)",339.97,340.94,297.38,-0.284507538,14.32174322,https://www.pbs.gov.pk/wp-content/uploads/2020/07/3.-SPI-Report-21.05.2026.xlsx
2026-05-21,"Q3 (Rs. 22,889 - 29,517)",363.04,363.6,321.74,-0.1540154015,12.83645179,https://www.pbs.gov.pk/wp-content/uploads/2020/07/3.-SPI-Report-21.05.2026.xlsx
2026-05-21,"Q4 (Rs. 29,518 - 44,175)",352.67,353.13,312.63,-0.1302636423,12.80747209,https://www.pbs.gov.pk/wp-content/uploads/2020/07/3.-SPI-Report-21.05.2026.xlsx
2026-05-21,"Q5 (Above Rs. 44,175)",360.04,361.33,315.35,-0.3570143636,14.17155541,https://www.pbs.gov.pk/wp-content/uploads/2020/07/3.-SPI-Report-21.05.2026.xlsx
2026-05-21,Combined,357.54,358.71,312.34,-0.3261687714,14.47140936,https://www.pbs.gov.pk/wp-content/uploads/2020/07/3.-SPI-Report-21.05.2026.xlsx
2026-05-14,"Q1 (Upto Rs. 17,732)",335.77,334.45,300.97,0.3946778293,11.56261421,https://www.pbs.gov.pk/wp-content/uploads/2020/07/3.-SPI-Report-14.05.2026.xlsx
2026-05-14,"Q2 (Rs. 17,733 - 22,888)",340.94,339.53,298.2,0.4152799458,14.33266264,https://www.pbs.gov.pk/wp-content/uploads/2020/07/3.-SPI-Report-14.05.2026.xlsx
2026-05-14,"Q3 (Rs. 22,889 - 29,517)",363.6,362.18,322.59,0.3920702413,12.71273133,https://www.pbs.gov.pk/wp-content/uploads/2020/07/3.-SPI-Report-14.05.2026.xlsx
2026-05-14,"Q4 (Rs. 29,518 - 44,175)",353.13,351.6,313.51,0.4351535836,12.63755542,https://www.pbs.gov.pk/wp-content/uploads/2020/07/3.-SPI-Report-14.05.2026.xlsx
2026-05-14,"Q5 (Above Rs. 44,175)",361.33,359.47,316.3,0.5174284363,14.23648435,https://www.pbs.gov.pk/wp-content/uploads/2020/07/3.-SPI-Report-14.05.2026.xlsx
2026-05-14,Combined,358.71,357.04,313.24,0.4677347076,14.51602605,https://www.pbs.gov.pk/wp-content/uploads/2020/07/3.-SPI-Report-14.05.2026.xlsx
2026-05-07,"Q1 (Upto Rs. 17,732)",334.45,332.16,298.24,0.6894267823,12.14122854,https://www.pbs.gov.pk/wp-content/uploads/2020/07/3.-SPI-Report-07.05.2026.xlsx
2026-05-07,"Q2 (Rs. 17,733 - 22,888)",339.53,336.95,295.19,0.7656922392,15.02083404,https://www.pbs.gov.pk/wp-content/uploads/2020/07/3.-SPI-Report-07.05.2026.xlsx
2026-05-07,"Q3 (Rs. 22,889 - 29,517)",362.18,359.46,319.46,0.7566905914,13.37256621,https://www.pbs.gov.pk/wp-content/uploads/2020/07/3.-SPI-Report-07.05.2026.xlsx
2026-05-07,"Q4 (Rs. 29,518 - 44,175)",351.6,348.71,310.22,0.8287688911,13.33892077,https://www.pbs.gov.pk/wp-content/uploads/2020/07/3.-SPI-Report-07.05.2026.xlsx
2026-05-07,"Q5 (Above Rs. 44,175)",359.47,356.61,313.08,0.8019965789,14.81729909,https://www.pbs.gov.pk/wp-content/uploads/2020/07/3.-SPI-Report-07.05.2026.xlsx
2026-05-07,Combined,357.04,354.23,310.05,0.7932699094,15.15562006,https://www.pbs.gov.pk/wp-content/uploads/2020/07/3.-SPI-Report-07.05.2026.xlsx
2026-04-30,"Q1 (Upto Rs. 17,732)",332.16,331.6,297.93,0.1688781665,11.489276,https://www.pbs.gov.pk/wp-content/uploads/2020/07/3.-SPI-Report-30.04.2026.xlsx
