date,ceiling_amount_million_pkr,ceiling_institutions,floor_amount_million_pkr,floor_institutions
2009-08-13,2340,1,0,0
2009-08-21,0,0,6550,9
2009-08-28,0,0,12100,8
2009-08-31,11200,8,0,0
2009-09-04,2800,1,0,0
2009-09-09,0,0,900,1
2009-09-10,0,0,7200,2
2009-09-11,0,0,7350,4
2009-09-16,700,1,0,0
2009-09-18,10800,1,0,0
2009-09-19,0,0,13500,1
2009-09-24,0,0,11500,2
2009-09-25,0,0,12500,3
2009-09-26,10800,11,0,0
2009-09-28,5600,4,0,0
2009-09-29,28850,16,0,0
2009-09-30,54250,13,0,0
2009-10-02,0,0,6800,7
2009-10-09,0,0,2500,1
2009-10-13,1000,1,0,0
2009-10-16,8600,4,0,0
2009-10-23,0,0,2800,2
2009-10-29,0,0,800,1
2009-10-30,0,0,11150,5
2009-11-02,0,0,2500,1
2009-11-04,6050,2,0,0
2009-11-06,1250,1,0,0
2009-11-07,9200,5,0,0
2009-11-12,1850,1,0,0
2009-11-13,15350,8,0,0
2009-11-20,0,0,5200,3
2009-11-24,0,0,6100,1
2009-11-26,9300,3,0,0
2009-12-04,0,0,2150,3
2009-12-09,0,0,5000,1
2009-12-10,0,0,3700,3
2009-12-11,0,0,15050,13
2009-12-17,6600,5,0,0
2009-12-18,36350,15,0,0
2009-12-23,0,0,9450,5
2009-12-24,0,0,24350,16
2009-12-25,0,0,24350,16
2009-12-26,0,0,9800,3
2009-12-31,26200,6,0,0
2010-01-06,0,0,6000,1
2010-01-08,12750,9,0,0
2010-01-09,1050,2,0,0
2010-01-11,6650,3,0,0
2010-01-15,9400,3,0,0
2010-01-19,3800,1,0,0
2010-01-21,0,0,24750,9
2010-01-22,0,0,8850,10
2010-01-29,17850,6,0,0
2010-02-04,3050,1,0,0
2010-02-10,13700,8,0,0
2010-02-12,21150,7,0,0
2010-02-18,3800,1,0,0
2010-02-19,6700,5,0,0
2010-02-25,0,0,6000,1
2010-02-26,0,0,2100,1
2010-03-05,0,0,8850,6
2010-03-06,8300,8,0,0
2010-03-07,8300,8,0,0
2010-03-08,950,4,0,0
2010-03-09,13300,9,0,0
2010-03-12,15600,5,0,0
2010-03-18,5700,3,0,0
2010-03-19,18350,8,0,0
2010-03-22,0,0,6000,1
2010-03-24,0,0,5100,1
2010-03-25,0,0,1800,2
2010-03-26,0,0,12800,2
2010-03-30,0,0,11000,3
2010-04-01,0,0,19600,8
2010-04-02,0,0,21750,11
2010-04-09,1000,1,0,0
2010-04-13,4500,1,0,0
2010-04-15,15000,9,0,0
2010-04-16,29800,18,0,0
2010-04-22,0,0,11550,4
2010-04-23,0,0,20400,11
2010-04-24,0,0,20400,11
2010-04-29,0,0,3200,2
2010-04-30,0,0,81600,8
2010-05-05,10650,4,0,0
2010-05-06,65850,9,0,0
2010-05-07,0,0,16500,1
2010-05-11,0,0,7700,1
2010-05-13,0,0,2800,2
2010-05-19,2800,5,0,0
2010-05-20,37150,15,0,0
2010-05-27,4100,1,0,0
2010-05-31,1100,2,0,0
2010-06-03,0,0,7300,3
2010-06-07,0,0,5500,1
2010-06-09,4500,6,0,0
2010-06-10,27900,11,0,0
2010-06-16,11650,7,0,0
2010-06-17,77100,18,0,0
2010-06-23,0,0,7300,3
2010-06-24,0,0,26750,11
2010-06-25,0,0,24450,8
2010-06-28,0,0,49850,10
2010-06-30,0,0,23600,8
2010-07-01,0,0,23600,8
2010-07-02,0,0,13500,1
2010-07-08,2200,2,0,0
2010-07-15,36150,15,0,0
2010-07-22,16650,10,0,0
2010-07-29,800,1,0,0
2010-07-30,1100,1,0,0
2010-08-02,550,1,0,0
2010-08-03,21100,7,0,0
2010-08-04,0,0,3800,1
2010-08-09,0,0,8300,1
2010-08-10,0,0,5900,1
2010-08-11,8750,3,0,0
2010-08-12,8750,3,0,0
2010-08-18,0,0,500,1
2010-08-19,0,0,11800,4
2010-08-20,2000,1,0,0
2010-08-23,2600,3,0,0
2010-08-26,34400,9,0,0
2010-08-31,12350,7,0,0
2010-09-02,0,0,15450,12
2010-09-07,0,0,21000,1
2010-09-08,3500,1,12000,1
2010-09-14,0,0,4450,3
2010-09-15,0,0,25050,11
2010-09-16,0,0,16900,10
2010-09-20,0,0,1450,2
2010-09-22,0,0,17700,4
2010-09-23,0,0,52200,10
2010-09-24,0,0,19900,5
2010-09-27,0,0,29750,5
2010-09-28,0,0,31450,7
2010-09-29,0,0,41300,8
