province,indicator_code,indicator_name,year,value,unit
Balochistan,basic_vaccination,Children 12-23 months with all basic vaccinations,2018,18.6,percent
Balochistan,bcg,Children 12-23 months who received BCG vaccination,2018,46.6,percent
Balochistan,measles,Children 12-23 months who received measles vaccination,2018,28.8,percent
Balochistan,no_vaccination,Children 12-23 months with no vaccinations,2018,23.8,percent
Balochistan,stunting,Children under 5 stunted (height-for-age below -2 SD),2018,47.4,percent
Balochistan,underweight,Children under 5 underweight (weight-for-age below -2 SD),2018,39.0,percent
Balochistan,wasting,Children under 5 wasted (weight-for-height below -2 SD),2018,18.3,percent
Khyber Pakhtunkhwa,basic_vaccination,Children 12-23 months with all basic vaccinations,2018,37.1,percent
Khyber Pakhtunkhwa,bcg,Children 12-23 months who received BCG vaccination,2018,81.0,percent
Khyber Pakhtunkhwa,measles,Children 12-23 months who received measles vaccination,2018,54.7,percent
Khyber Pakhtunkhwa,no_vaccination,Children 12-23 months with no vaccinations,2018,4.5,percent
Khyber Pakhtunkhwa,stunting,Children under 5 stunted (height-for-age below -2 SD),2018,40.4,percent
Khyber Pakhtunkhwa,underweight,Children under 5 underweight (weight-for-age below -2 SD),2018,21.8,percent
Khyber Pakhtunkhwa,wasting,Children under 5 wasted (weight-for-height below -2 SD),2018,7.5,percent
Punjab,basic_vaccination,Children 12-23 months with all basic vaccinations,2018,65.6,percent
Punjab,bcg,Children 12-23 months who received BCG vaccination,2018,96.5,percent
Punjab,measles,Children 12-23 months who received measles vaccination,2018,79.9,percent
Punjab,no_vaccination,Children 12-23 months with no vaccinations,2018,0.9,percent
Punjab,stunting,Children under 5 stunted (height-for-age below -2 SD),2018,29.8,percent
Punjab,underweight,Children under 5 underweight (weight-for-age below -2 SD),2018,14.0,percent
Punjab,wasting,Children under 5 wasted (weight-for-height below -2 SD),2018,4.0,percent
Sindh,basic_vaccination,Children 12-23 months with all basic vaccinations,2018,35.4,percent
Sindh,bcg,Children 12-23 months who received BCG vaccination,2018,82.3,percent
Sindh,measles,Children 12-23 months who received measles vaccination,2018,48.8,percent
Sindh,no_vaccination,Children 12-23 months with no vaccinations,2018,6.2,percent
Sindh,stunting,Children under 5 stunted (height-for-age below -2 SD),2018,49.9,percent
Sindh,underweight,Children under 5 underweight (weight-for-age below -2 SD),2018,40.2,percent
Sindh,wasting,Children under 5 wasted (weight-for-height below -2 SD),2018,11.7,percent
